"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";772;1234;2216;894;700;412;315;320;330;1193;4407;5943;18736
"12 Acre";3052;6141;5106;1401;782;298;142;118;96;193;575;1502;19406
"13 Amazonas";380;210;179;65;90;55;75;72;53;78;182;230;1669
"14 Roraima";671;699;569;262;177;96;151;166;127;78;97;129;3222
"15 Pará";964;1467;1799;1088;636;359;191;152;128;263;371;248;7666
"16 Amapá";394;354;376;170;120;94;55;43;36;28;17;33;1720
"17 Tocantins";399;389;489;389;421;327;174;127;133;160;419;696;4123
"21 Maranhão";145;245;610;356;457;184;56;49;43;22;12;21;2200
"22 Piauí";133;164;546;671;688;622;502;334;132;106;108;116;4122
"23 Ceará";626;1291;2873;1015;557;361;189;130;131;196;326;386;8081
"24 Rio Grande do Norte";209;250;636;437;288;159;115;127;83;110;150;166;2730
"25 Paraíba";47;59;117;121;110;110;88;54;48;41;86;86;967
"26 Pernambuco";129;176;350;343;421;409;318;213;87;112;202;201;2961
"27 Alagoas";243;267;639;490;606;204;199;401;289;284;234;180;4036
"28 Sergipe";107;132;548;402;322;137;74;67;52;19;24;22;1906
"29 Bahia";7194;16272;35008;21902;10014;3550;1792;1045;648;545;918;1510;100398
"31 Minas Gerais";3071;6526;15073;13455;9512;2290;838;256;155;339;1312;3041;55868
"32 Espírito Santo";3058;5763;8117;7657;8462;3138;938;500;173;103;277;694;38880
"33 Rio de Janeiro";1745;1762;1632;1093;695;387;235;74;67;61;259;516;8526
"35 São Paulo";838;911;2260;2560;1859;545;253;135;120;285;606;1831;12203
"41 Paraná";147;163;407;330;210;56;32;29;25;29;71;132;1631
"42 Santa Catarina";12;6;12;3;2;2;-;1;-;-;8;14;60
"43 Rio Grande do Sul";9;16;8;5;5;2;2;-;2;4;7;13;73
"50 Mato Grosso do Sul";97;610;2604;3015;1875;350;165;114;115;254;1393;2890;13482
"51 Mato Grosso";836;1359;3746;9637;8734;3036;1887;1400;1390;2680;8224;9535;52464
"52 Goiás";2322;3606;5923;5452;3958;2012;1337;1734;1273;2169;5322;8582;43690
"53 Distrito Federal";92;97;128;133;138;70;56;17;12;18;51;101;913
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";27692;50169;91971;73346;51839;19265;10179;7678;5748;9370;25658;38818;411733
&
