"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";666;275;172;80;109;51;25;20;11;32;104;116;1661
"12 Acre";1281;241;113;79;36;32;7;8;8;22;173;196;2196
"13 Amazonas";7032;6568;2947;1178;734;325;126;55;51;31;44;324;19415
"14 Roraima";808;370;137;88;116;103;160;258;376;636;465;442;3959
"15 Pará";2460;3813;4031;2420;1106;426;209;147;250;437;762;555;16616
"16 Amapá";7;17;89;164;546;417;461;733;436;234;85;10;3199
"17 Tocantins";1098;697;574;406;403;193;73;60;36;101;583;589;4813
"21 Maranhão";1035;974;1274;780;803;418;238;163;95;125;130;215;6250
"22 Piauí";441;952;1360;1858;1901;1549;779;587;266;226;201;185;10305
"23 Ceará";1846;3401;4891;4611;6196;4372;2313;1623;1195;1611;1210;738;34007
"24 Rio Grande do Norte";2002;3838;5967;5051;6670;4792;3821;2256;1099;886;656;468;37506
"25 Paraíba";45;290;704;2991;4681;2126;1378;1023;654;434;431;195;14952
"26 Pernambuco";899;1050;1258;2067;2292;1494;1217;841;500;514;661;448;13241
"27 Alagoas";164;190;727;300;122;85;80;83;79;69;48;32;1979
"28 Sergipe";229;225;366;504;796;530;317;208;96;116;94;45;3526
"29 Bahia";2121;3662;5708;5429;4586;1968;1083;639;582;556;745;907;27986
"31 Minas Gerais";2630;4573;7851;8214;4608;1197;439;164;199;224;731;1171;32001
"32 Espírito Santo";885;1199;1349;1380;1082;645;434;175;103;101;143;139;7635
"33 Rio de Janeiro";3149;6084;9242;16263;13861;5950;2025;745;416;622;843;2296;61496
"35 São Paulo";1419;3131;9128;18894;18004;5900;1008;335;194;180;156;234;58583
"41 Paraná";55;273;591;406;143;22;18;22;12;13;21;18;1594
"42 Santa Catarina";1;2;5;3;5;4;1;-;1;3;2;7;34
"43 Rio Grande do Sul";12;4;4;6;4;6;5;5;1;2;2;11;62
"50 Mato Grosso do Sul";273;534;1426;3159;2410;238;56;42;41;95;320;735;9329
"51 Mato Grosso";157;146;164;200;211;96;56;61;58;261;567;376;2353
"52 Goiás";740;1559;2309;1689;989;483;257;143;216;347;853;864;10449
"53 Distrito Federal";423;243;244;220;193;102;87;35;26;39;45;56;1713
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";31878;44311;62631;78440;72607;33524;16673;10431;7001;7917;10075;11372;386860
&
