"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";209;262;221;84;65;24;23;9;29;64;305;228;1523
"12 Acre";78;150;297;65;36;24;19;11;14;18;90;98;900
"13 Amazonas";133;545;449;253;122;96;95;131;73;62;166;89;2214
"14 Roraima";342;217;96;81;68;49;62;41;39;107;85;80;1267
"15 Pará";2097;2537;2689;1161;518;247;185;199;291;342;508;681;11455
"16 Amapá";35;194;155;74;34;36;53;113;90;33;29;19;865
"17 Tocantins";694;439;202;133;71;34;15;11;15;64;145;243;2066
"21 Maranhão";773;1872;1786;852;580;339;290;345;232;431;480;408;8388
"22 Piauí";909;1344;1475;1458;1118;643;460;367;272;257;354;191;8848
"23 Ceará";1678;3712;3852;2326;1615;1336;1197;1047;597;743;889;676;19668
"24 Rio Grande do Norte";1772;2993;5481;3785;1946;1168;1133;917;698;710;644;557;21804
"25 Paraíba";893;2328;4685;3882;2561;1156;950;631;293;286;581;481;18727
"26 Pernambuco";9197;33562;34506;13569;4434;1455;918;535;389;472;495;525;100057
"27 Alagoas";278;1061;2154;1497;896;507;371;215;146;103;131;144;7503
"28 Sergipe";252;506;947;915;606;576;445;288;203;173;216;131;5258
"29 Bahia";5151;17766;27352;15032;5054;1681;997;838;931;841;837;1013;77493
"31 Minas Gerais";4733;9705;11486;7170;3717;653;149;92;70;81;331;710;38897
"32 Espírito Santo";1788;6538;8812;3602;1671;840;425;295;224;243;423;604;25465
"33 Rio de Janeiro";48309;80164;88375;23443;4817;1248;465;312;184;321;1150;2302;251090
"35 São Paulo";2153;8654;13035;10692;6809;2055;332;144;68;80;225;410;44657
"41 Paraná";211;587;1740;2671;1389;222;53;78;37;51;93;93;7225
"42 Santa Catarina";81;109;53;36;10;4;3;1;4;3;2;8;314
"43 Rio Grande do Sul";94;204;93;23;15;6;7;9;6;1;5;9;472
"50 Mato Grosso do Sul";4393;4127;2294;832;256;77;26;42;21;13;45;150;12276
"51 Mato Grosso";2493;2332;1504;593;307;170;78;51;69;226;501;979;9303
"52 Goiás";3926;8296;5562;1710;619;170;147;264;271;138;367;471;21941
"53 Distrito Federal";695;1112;968;361;131;34;32;31;6;21;42;89;3522
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";93367;191316;220269;96300;39465;14850;8930;7017;5272;5884;9139;11389;703198
&
