"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2017-01-01,2017-09-09,NA,176,NA,"total=176","EpiBulletinPrevYear",""
"Chik","Brazil","Acre","state",2017-01-01,2017-09-09,NA,84,NA,"total=84","EpiBulletinPrevYear",""
"Chik","Brazil","Amazonas","state",2017-01-01,2017-09-09,NA,236,NA,"total=236","EpiBulletinPrevYear",""
"Chik","Brazil","Roraima","state",2017-01-01,2017-09-09,NA,3876,NA,"total=3876","EpiBulletinPrevYear",""
"Chik","Brazil","Para","state",2017-01-01,2017-09-09,NA,7972,NA,"total=7972","EpiBulletinPrevYear",""
"Chik","Brazil","Amapa","state",2017-01-01,2017-09-09,NA,194,NA,"total=194","EpiBulletinPrevYear",""
"Chik","Brazil","Tocantins","state",2017-01-01,2017-09-09,NA,2976,NA,"total=2976","EpiBulletinPrevYear",""
"Chik","Brazil","Maranhao","state",2017-01-01,2017-09-09,NA,6152,NA,"total=6152","EpiBulletinPrevYear",""
"Chik","Brazil","Piaui","state",2017-01-01,2017-09-09,NA,6020,NA,"total=6020","EpiBulletinPrevYear",""
"Chik","Brazil","Ceara","state",2017-01-01,2017-09-09,NA,113040,NA,"total=113040","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-09-09,NA,1702,NA,"total=1702","EpiBulletinPrevYear",""
"Chik","Brazil","Paraiba","state",2017-01-01,2017-09-09,NA,1464,NA,"total=1464","EpiBulletinPrevYear",""
"Chik","Brazil","Pernambuco","state",2017-01-01,2017-09-09,NA,1430,NA,"total=1430","EpiBulletinPrevYear",""
"Chik","Brazil","Alagoas","state",2017-01-01,2017-09-09,NA,425,NA,"total=425","EpiBulletinPrevYear",""
"Chik","Brazil","Sergipe","state",2017-01-01,2017-09-09,NA,368,NA,"total=368","EpiBulletinPrevYear",""
"Chik","Brazil","Bahia","state",2017-01-01,2017-09-09,NA,8621,NA,"total=8621","EpiBulletinPrevYear",""
"Chik","Brazil","Minas_Gerais","state",2017-01-01,2017-09-09,NA,15830,NA,"total=15830","EpiBulletinPrevYear",""
"Chik","Brazil","Espirito_Santo","state",2017-01-01,2017-09-09,NA,746,NA,"total=746","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-09-09,NA,4039,NA,"total=4039","EpiBulletinPrevYear",""
"Chik","Brazil","Sao_Paulo","state",2017-01-01,2017-09-09,NA,671,NA,"total=671","EpiBulletinPrevYear",""
"Chik","Brazil","Parana","state",2017-01-01,2017-09-09,NA,123,NA,"total=123","EpiBulletinPrevYear",""
"Chik","Brazil","Santa_Catarina","state",2017-01-01,2017-09-09,NA,43,NA,"total=43","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-09-09,NA,51,NA,"total=51","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-09-09,NA,63,NA,"total=63","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso","state",2017-01-01,2017-09-09,NA,3101,NA,"total=3101","EpiBulletinPrevYear",""
"Chik","Brazil","Goias","state",2017-01-01,2017-09-09,NA,147,NA,"total=147","EpiBulletinPrevYear",""
"Chik","Brazil","Distrito_Federal","state",2017-01-01,2017-09-09,NA,107,NA,"total=107","EpiBulletinPrevYear",""
