report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,838,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,45,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4126,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,108,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4201,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,280,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2136,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4299,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,194,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,3768,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3650,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3552,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,373,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6335,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,208,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,49685,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13995,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2241,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,66478,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5177,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,615,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,66,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,159,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1646,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21727,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,9755,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,329,cases
