report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,923,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4485,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,169,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4664,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,405,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2136,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4608,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,236,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4340,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3699,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3750,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,445,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6827,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,217,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,51216,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13865,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2333,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71529,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5210,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,661,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,69,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,168,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1722,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21628,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10477,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,346,cases
