report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,875,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,75,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4378,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,132,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4424,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,378,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2090,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4542,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,228,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4159,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3619,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3731,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,429,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6765,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,213,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50163,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13755,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2270,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,70804,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5056,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,609,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,64,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,160,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1707,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21524,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10244,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,335,cases
