report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,916,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4464,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,166,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4602,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,402,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2129,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4597,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,235,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4335,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3691,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3749,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,442,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6825,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,217,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,51119,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13852,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2325,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71466,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5191,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,657,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,69,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,166,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1722,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21606,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10427,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,346,cases
