report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,904,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4448,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4477,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,401,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2121,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4589,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,234,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4318,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3677,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3748,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,438,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6813,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,215,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50943,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13830,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2307,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71342,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5162,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,645,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,68,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,163,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1720,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21568,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10379,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,346,cases
