report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,894,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4425,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,156,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4464,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,397,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2106,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4585,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,232,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4273,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3654,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3747,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,434,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6800,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,215,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50720,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13809,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2296,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71215,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5126,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,624,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,67,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,161,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1718,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21551,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10326,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,344,cases
