report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,868,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,75,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4373,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,126,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4397,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,366,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2085,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4520,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,228,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4118,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3607,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3727,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,426,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6744,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,212,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50025,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13739,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2264,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,70737,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5045,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,607,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,63,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,159,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1701,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21513,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10227,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,334,cases
