report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,852,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,75,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4353,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,120,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4357,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,334,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2077,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4508,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,225,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4054,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3567,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3719,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,423,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6717,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,211,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,49829,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13722,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2252,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,70539,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5017,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,606,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,156,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1694,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21491,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10195,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,332,cases
