report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,909,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4454,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4573,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,402,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2123,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4595,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,234,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4328,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3687,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3748,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,441,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6818,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,216,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,51037,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13841,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2318,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71406,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5172,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,654,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,69,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,163,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1721,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21584,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10400,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,346,cases
