report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,731,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,43,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,3474,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,57,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,3604,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,94,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,1924,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,3946,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,164,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,2258,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3077,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,2790,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,347,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,4644,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,194,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,47572,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13681,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2127,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,63388,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,4866,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,594,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,63,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,140,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1594,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21469,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,8837,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,314,cases
