report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,885,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,76,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4402,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,145,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4444,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,391,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2095,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4562,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,229,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4219,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3636,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3740,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,434,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6791,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,214,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50436,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13775,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2284,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71009,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5088,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,614,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,66,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,160,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1713,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21530,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10280,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,339,cases
