report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,898,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4434,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,157,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4469,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,398,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2112,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4586,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,234,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4288,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3664,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3747,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,436,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6808,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,215,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50819,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13821,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2301,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71280,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5143,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,634,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,68,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1720,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21562,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10346,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,346,cases
