report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,846,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4341,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,113,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4320,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,306,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2072,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4498,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,223,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4012,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3525,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3710,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,420,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6679,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,210,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,49695,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13716,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2241,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,70387,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,4996,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,605,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,154,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1689,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21473,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10169,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,330,cases
