population,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
AC,379576,390262,400722,410946,420933,430692,428006,437495,446480,455242,505481,500185,514050,527937,557526,574355,586942,600595,630328,669736,686652,
AL,2339957,2388748,2436503,2483181,2528779,2573333,2548092,2604394,2645417,2685421,2707772,2663071,2688117,2713203,2822621,2856629,2887535,2917664,2968359,3003386,3050652,
AM,1882692,1944485,2004967,2064084,2121834,2178262,2165852,2217600,2269555,2320221,2548510,2460602,2520684,2580860,2812557,2900240,2961801,3031068,3138726,3232330,3311026,
AP,252000,262478,272733,282757,292549,302117,299305,308787,317597,326188,407184,401916,420834,439781,477032,498735,498618,516588,547400,594587,615715,
BA,11077187,11298752,11515616,11727582,11934649,12136977,12014023,12278027,12464316,12645982,12622700,12709744,12851268,12993011,13070250,13214114,13323212,13435612,13682074,13815334,13950146,
CE,6013323,6112316,6209209,6303914,6396429,6486827,6433713,6549847,6633080,6714246,7034574,6920292,7013376,7106605,7430661,7547620,7654535,7758441,7976563,8097276,8217085,
DF,1462123,1501059,1539170,1576419,1612808,1648364,1639035,1673151,1705889,1737813,1883611,1877015,1923406,1969868,2051146,2097447,2145839,2189789,2282049,2333108,2383784,
ES,2411479,2464472,2516339,2567036,2616561,2664952,2649747,2698687,2743243,2786692,2912364,2853098,2895547,2938062,3097232,3155016,3201722,3250219,3352024,3408365,3464285,
GO,3724623,3807073,3887774,3966653,4043708,4119000,4098513,4171489,4240812,4308415,4636806,4639785,4744174,4848725,5003228,5116462,5210335,5306459,5508245,5619917,5730753,
MA,4624288,4710012,4793918,4875928,4956043,5034325,4990749,5088898,5160974,5231261,5382995,5295452,5356853,5418349,5651475,5730467,5803224,5873655,6021504,6103327,6184538,
MG,14968417,15185480,15397937,15605596,15808455,16006672,15941939,16144856,16327360,16505334,17091758,16904977,17100314,17295955,17891494,18127096,18343517,18553312,18993720,19237450,19479356,
MS,1645777,1683488,1720398,1756475,1791718,1826155,1818175,1850162,1881868,1912788,1967207,1964603,1995578,2026600,2078001,2111036,2140624,2169688,2230702,2264468,2297981,
MT,1736111,1817676,1897510,1975542,2051770,2126253,2107698,2178178,2246757,2313634,2326741,2287846,2331663,2375549,2504353,2560584,2604742,2651335,2749145,2803274,2856999,
PA,4443311,4585290,4724257,4860086,4992775,5122427,5328133,5212812,5332187,5448598,5729872,5650681,5768476,5886454,6192307,6358347,6471576,6593240,6850181,6970586,7110465,
PB,3059922,3099481,3138200,3176045,3213015,3249139,3229163,3274323,3307583,3340018,3353474,3331673,3353624,3366580,3443825,3468594,3494893,3518595,3566417,3595886,3623215,
PE,6805267,6895649,6984113,7070579,7155046,7237581,7187355,7295118,7371110,7445216,7624079,7466773,7523755,7580826,7918344,8008207,8084667,8161862,8323911,8413593,8502603,
PI,2436955,2477632,2517445,2556360,2594375,2631520,2610476,2657415,2691615,2724967,2746066,2695876,2714999,2734152,2843278,2873010,2898223,2923725,2977259,3006885,3036290,
PR,8180271,8255483,8329098,8401051,8471340,8540021,8511279,8587901,8651138,8712805,9148486,9142215,9258813,9375592,9563458,9694709,9798006,9906866,10135388,10261856,10387378,
RJ,12310944,12450125,12586353,12719505,12849579,12976675,12916705,13065279,13182301,13296419,13801784,13555657,13681410,13807358,14391282,14558545,14724475,14879118,15203750,15383407,15561720,
RN,2246048,2293543,2340031,2385469,2429856,2473227,2448267,2503463,2543397,2582339,2642317,2594340,2624397,2654501,2776782,2815244,2852784,2888058,2962107,3003087,3043760,
RO,922471,981370,1039020,1095367,1150412,1204197,1190739,1241693,1291214,1339507,1287804,1255522,1276173,1296856,1379787,1407886,1431777,1455907,1562085,1534594,1562417,
RR,172230,184937,197374,209530,221406,233009,228749,241099,251783,262201,284635,254499,260705,266922,324397,320626,346871,357302,381896,391317,403344,
RS,8691497,8816785,8939414,9059274,9176363,9290772,9249199,9370531,9475871,9578597,9797253,9762110,9866928,9971910,10187798,10312493,10408540,10510992,10726063,10845087,10963219,
SC,4242512,4326420,4408547,4488820,4567238,4643860,4614268,4697277,4767826,4836624,5053206,4958339,5028339,5098448,5356360,5446062,5527707,5607233,5774178,5866568,5958266,
SE,1376627,1408917,1440522,1471413,1501590,1531077,1515142,1551633,1578782,1605257,1675553,1657164,1684953,1712786,1784475,1817301,1846039,1874613,1934596,1967791,2000738,
SP,29443476,30044579,30632934,31207995,31769767,32318683,32126058,32701353,33206755,33699614,35006028,34752225,35284072,35816740,37032403,37630106,38177742,38709320,39825226,40442795,41055734,
TO,860567,877181,893441,909335,924861,940032,946604,970259,990760,1007041,1068786,1080753,1107803,1134895,1157098,1184895,1207014,1230181,1262644,1305728,1332441,
,,,,,,,,,,,,,,,,,,,,,,
total,137709651,140263693,142763545,145206942,147593859,149926149,149236984,151571727,153725670,155822440,161247046,159636413,161790311,163938525,169799170,172385826,174632960,176871437,181566540,184171738,186770562,
,,,,,,,,,,,,,,,é,,,,,,,
RR Population estimates for 1981/2,,,è,105715,119273,,,,,,,,,,Census data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,
"Brazilian Institute for Geography and Statistics/ Instituto Brasileiro de Geografia e Estatistica-IBGE, DPE, Departamento de População e Indicadores Sociais",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
File created in 01 December 2006 MGRF,,,,,,,,,,,,,,,,,,,,,,
