"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2017-01-01,2017-09-30,NA,209,NA,"total=209","EpiBulletin",""
"Chik","Brazil","Acre","state",2017-01-01,2017-09-30,NA,91,NA,"total=91","EpiBulletin",""
"Chik","Brazil","Amazonas","state",2017-01-01,2017-09-30,NA,254,NA,"total=254","EpiBulletin",""
"Chik","Brazil","Roraima","state",2017-01-01,2017-09-30,NA,3851,NA,"total=3851","EpiBulletin",""
"Chik","Brazil","Para","state",2017-01-01,2017-09-30,NA,7900,NA,"total=7900","EpiBulletin",""
"Chik","Brazil","Amapa","state",2017-01-01,2017-09-30,NA,152,NA,"total=152","EpiBulletin",""
"Chik","Brazil","Tocantins","state",2017-01-01,2017-09-30,NA,3218,NA,"total=3218","EpiBulletin",""
"Chik","Brazil","Maranhao","state",2017-01-01,2017-09-30,NA,6132,NA,"total=6132","EpiBulletin",""
"Chik","Brazil","Piaui","state",2017-01-01,2017-09-30,NA,5630,NA,"total=5630","EpiBulletin",""
"Chik","Brazil","Ceara","state",2017-01-01,2017-09-30,NA,111971,NA,"total=111971","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-09-30,NA,1718,NA,"total=1718","EpiBulletin",""
"Chik","Brazil","Paraiba","state",2017-01-01,2017-09-30,NA,1396,NA,"total=1396","EpiBulletin",""
"Chik","Brazil","Pernambuco","state",2017-01-01,2017-09-30,NA,2041,NA,"total=2041","EpiBulletin",""
"Chik","Brazil","Alagoas","state",2017-01-01,2017-09-30,NA,462,NA,"total=462","EpiBulletin",""
"Chik","Brazil","Sergipe","state",2017-01-01,2017-09-30,NA,316,NA,"total=316","EpiBulletin",""
"Chik","Brazil","Bahia","state",2017-01-01,2017-09-30,NA,8530,NA,"total=8530","EpiBulletin",""
"Chik","Brazil","Minas_Gerais","state",2017-01-01,2017-09-30,NA,17548,NA,"total=17548","EpiBulletin",""
"Chik","Brazil","Espirito_Santo","state",2017-01-01,2017-09-30,NA,784,NA,"total=784","EpiBulletin",""
"Chik","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-09-30,NA,3739,NA,"total=3739","EpiBulletin",""
"Chik","Brazil","Sao_Paulo","state",2017-01-01,2017-09-30,NA,880,NA,"total=880","EpiBulletin",""
"Chik","Brazil","Parana","state",2017-01-01,2017-09-30,NA,173,NA,"total=173","EpiBulletin",""
"Chik","Brazil","Santa_Catarina","state",2017-01-01,2017-09-30,NA,61,NA,"total=61","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-09-30,NA,62,NA,"total=62","EpiBulletin",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-09-30,NA,74,NA,"total=74","EpiBulletin",""
"Chik","Brazil","Mato_Grosso","state",2017-01-01,2017-09-30,NA,2919,NA,"total=2919","EpiBulletin",""
"Chik","Brazil","Goias","state",2017-01-01,2017-09-30,NA,211,NA,"total=211","EpiBulletin",""
"Chik","Brazil","Distrito_Federal","state",2017-01-01,2017-09-30,NA,108,NA,"total=108","EpiBulletin",""
