"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2017-01-01,2017-06-24,NA,203,NA,"total=203","EpiBulletin",""
"Chik","Brazil","Acre","state",2017-01-01,2017-06-24,NA,102,NA,"total=102","EpiBulletin",""
"Chik","Brazil","Amazonas","state",2017-01-01,2017-06-24,NA,223,NA,"total=223","EpiBulletin",""
"Chik","Brazil","Roraima","state",2017-01-01,2017-06-24,NA,1641,NA,"total=1641","EpiBulletin",""
"Chik","Brazil","Para","state",2017-01-01,2017-06-24,NA,6283,NA,"total=6283","EpiBulletin",""
"Chik","Brazil","Amapa","state",2017-01-01,2017-06-24,NA,81,NA,"total=81","EpiBulletin",""
"Chik","Brazil","Tocantins","state",2017-01-01,2017-06-24,NA,3235,NA,"total=3235","EpiBulletin",""
"Chik","Brazil","Maranhao","state",2017-01-01,2017-06-24,NA,4647,NA,"total=4647","EpiBulletin",""
"Chik","Brazil","Piaui","state",2017-01-01,2017-06-24,NA,1765,NA,"total=1765","EpiBulletin",""
"Chik","Brazil","Ceara","state",2017-01-01,2017-06-24,NA,80045,NA,"total=80045","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-06-24,NA,935,NA,"total=935","EpiBulletin",""
"Chik","Brazil","Paraiba","state",2017-01-01,2017-06-24,NA,684,NA,"total=684","EpiBulletin",""
"Chik","Brazil","Pernambuco","state",2017-01-01,2017-06-24,NA,1456,NA,"total=1456","EpiBulletin",""
"Chik","Brazil","Alagoas","state",2017-01-01,2017-06-24,NA,329,NA,"total=329","EpiBulletin",""
"Chik","Brazil","Sergipe","state",2017-01-01,2017-06-24,NA,251,NA,"total=251","EpiBulletin",""
"Chik","Brazil","Bahia","state",2017-01-01,2017-06-24,NA,6541,NA,"total=6541","EpiBulletin",""
"Chik","Brazil","Minas_Gerais","state",2017-01-01,2017-06-24,NA,16737,NA,"total=16737","EpiBulletin",""
"Chik","Brazil","Espirito_Santo","state",2017-01-01,2017-06-24,NA,613,NA,"total=613","EpiBulletin",""
"Chik","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-06-24,NA,2408,NA,"total=2408","EpiBulletin",""
"Chik","Brazil","Sao_Paulo","state",2017-01-01,2017-06-24,NA,701,NA,"total=701","EpiBulletin",""
"Chik","Brazil","Parana","state",2017-01-01,2017-06-24,NA,147,NA,"total=147","EpiBulletin",""
"Chik","Brazil","Santa_Catarina","state",2017-01-01,2017-06-24,NA,58,NA,"total=58","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-06-24,NA,57,NA,"total=57","EpiBulletin",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-06-24,NA,50,NA,"total=50","EpiBulletin",""
"Chik","Brazil","Mato_Grosso","state",2017-01-01,2017-06-24,NA,2240,NA,"total=2240","EpiBulletin",""
"Chik","Brazil","Goias","state",2017-01-01,2017-06-24,NA,228,NA,"total=228","EpiBulletin",""
"Chik","Brazil","Distrito_Federal","state",2017-01-01,2017-06-24,NA,89,NA,"total=89","EpiBulletin",""
