"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2017-01-01,2017-01-28,NA,49,NA,"total=49","EpiBulletin",""
"Chik","Brazil","Acre","state",2017-01-01,2017-01-28,NA,22,NA,"total=22","EpiBulletin",""
"Chik","Brazil","Amazonas","state",2017-01-01,2017-01-28,NA,28,NA,"total=28","EpiBulletin",""
"Chik","Brazil","Roraima","state",2017-01-01,2017-01-28,NA,19,NA,"total=19","EpiBulletin",""
"Chik","Brazil","Para","state",2017-01-01,2017-01-28,NA,520,NA,"total=520","EpiBulletin",""
"Chik","Brazil","Amapa","state",2017-01-01,2017-01-28,NA,11,NA,"total=11","EpiBulletin",""
"Chik","Brazil","Tocantins","state",2017-01-01,2017-01-28,NA,140,NA,"total=140","EpiBulletin",""
"Chik","Brazil","Maranhao","state",2017-01-01,2017-01-28,NA,114,NA,"total=114","EpiBulletin",""
"Chik","Brazil","Piaui","state",2017-01-01,2017-01-28,NA,1,NA,"total=1","EpiBulletin",""
"Chik","Brazil","Ceara","state",2017-01-01,2017-01-28,NA,1011,NA,"total=1011","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-01-28,NA,29,NA,"total=29","EpiBulletin",""
"Chik","Brazil","Paraiba","state",2017-01-01,2017-01-28,NA,23,NA,"total=23","EpiBulletin",""
"Chik","Brazil","Pernambuco","state",2017-01-01,2017-01-28,NA,150,NA,"total=150","EpiBulletin",""
"Chik","Brazil","Alagoas","state",2017-01-01,2017-01-28,NA,14,NA,"total=14","EpiBulletin",""
"Chik","Brazil","Sergipe","state",2017-01-01,2017-01-28,NA,29,NA,"total=29","EpiBulletin",""
"Chik","Brazil","Bahia","state",2017-01-01,2017-01-28,NA,703,NA,"total=703","EpiBulletin",""
"Chik","Brazil","Minas_Gerais","state",2017-01-01,2017-01-28,NA,200,NA,"total=200","EpiBulletin",""
"Chik","Brazil","Espirito_Santo","state",2017-01-01,2017-01-28,NA,44,NA,"total=44","EpiBulletin",""
"Chik","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-01-28,NA,192,NA,"total=192","EpiBulletin",""
"Chik","Brazil","Sao_Paulo","state",2017-01-01,2017-01-28,NA,224,NA,"total=224","EpiBulletin",""
"Chik","Brazil","Parana","state",2017-01-01,2017-01-28,NA,49,NA,"total=49","EpiBulletin",""
"Chik","Brazil","Santa_Catarina","state",2017-01-01,2017-01-28,NA,42,NA,"total=42","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-01-28,NA,41,NA,"total=41","EpiBulletin",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-01-28,NA,18,NA,"total=18","EpiBulletin",""
"Chik","Brazil","Mato_Grosso","state",2017-01-01,2017-01-28,NA,28,NA,"total=28","EpiBulletin",""
"Chik","Brazil","Goias","state",2017-01-01,2017-01-28,NA,46,NA,"total=46","EpiBulletin",""
"Chik","Brazil","Distrito_Federal","state",2017-01-01,2017-01-28,NA,7,NA,"total=7","EpiBulletin",""
