report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,75,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,59,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,27,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,2088,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,75,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,189,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,302,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,205,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,1473,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,547,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,286,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,428,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,50,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,10,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,1124,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,4385,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,162,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,6319,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,484,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,140,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,22,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,111,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,10852,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,148,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,24,cases
