report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,698,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,345,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,893,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,207,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,3236,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,870,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1311,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,12906,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2783,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,45754,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24732,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,19475,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,47349,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,16945,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,8791,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,50422,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1322,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,394,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,17590,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,4233,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,889,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,515,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,285,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,218,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,544,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,350,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,541,cases
