report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,94,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,61,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,40,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,2467,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,87,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,245,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,304,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,247,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,1620,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,714,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,372,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,578,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,51,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,13,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,1352,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,6813,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,207,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,8925,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,457,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,145,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,48,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,24,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,149,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,11580,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,179,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,27,cases
