report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,49,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,22,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,28,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,19,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,520,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,11,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,140,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,114,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,1,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,1011,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,29,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,23,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,150,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,14,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,29,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,703,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,200,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,44,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,192,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,224,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,49,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,42,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,41,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,18,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,28,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,46,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,7,cases
