report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,151,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,63,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,160,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,189,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,1989,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1065,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,859,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,55,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,4735,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,239,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,119,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,490,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,101,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,80,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,2725,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,2302,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,133,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,907,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,522,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,95,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,37,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,40,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,267,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,112,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,26,cases
