report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,745,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,361,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,849,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,211,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,3304,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,882,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1334,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,13030,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2782,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,46380,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24576,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,19591,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,47712,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,17030,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,8876,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,50605,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1353,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,409,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,17621,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,4410,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,929,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,537,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,299,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,264,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,536,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,377,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,551,cases
