report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,274,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,69,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,194,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,414,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,3666,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,64,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1678,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,2252,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,132,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,17012,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,427,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,275,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,747,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,153,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,112,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,4058,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,7936,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,324,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,1365,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,596,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,102,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,50,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,55,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,57,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,785,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,162,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,51,cases
