report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,209,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,96,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,255,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,3706,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,7692,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,149,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,3218,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,5941,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,5266,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,110141,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1642,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1258,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1911,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,442,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,316,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8402,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,17603,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,760,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,3679,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,827,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,153,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,61,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,62,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,71,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,2734,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,211,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,104,cases
