report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,203,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,102,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,223,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,1641,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,6283,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,81,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,3235,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,4647,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,1765,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,80045,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,935,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,684,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1456,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,329,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,251,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,6541,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,16737,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,613,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,2408,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,701,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,147,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,58,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,57,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,50,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,2240,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,228,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,89,cases
