report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,217,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,107,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,245,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,4063,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,8360,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,202,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,3252,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,6349,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,6298,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,113993,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,2013,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1603,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1901,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,492,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,398,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8693,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,16973,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,814,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,4075,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,1095,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,209,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,76,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,68,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,122,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,3097,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,230,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,124,cases
