report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,61,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,50,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,15,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,943,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,47,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,95,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,118,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,78,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,646,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,225,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,104,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,162,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,19,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,6,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,251,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1458,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,84,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,1099,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,449,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,65,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,24,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,17,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,35,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,5913,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,92,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,14,cases
