report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,33,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,22,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,12,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,12,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,231,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,17,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,86,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,64,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,20,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,292,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,101,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,49,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,96,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,14,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,1,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,87,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,740,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,320,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,241,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,46,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,16,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,6,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,30,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,2231,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,27,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,5,cases
