report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,1074,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,442,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,203,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,13,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,418,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,104,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,823,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,3191,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,233,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,1204,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,9410,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,3748,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,17417,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,3460,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,3770,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,29856,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,890,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,128,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,2135,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,2254,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,1333,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,226,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,201,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,44,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,685,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,158,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,258,cases
