"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",629,18768,226,"cases"
NA,"Colombia-Norte_Santander","province",1475,8215,68,"cases"
NA,"Colombia-Santander","province",283,6554,310,"cases"
NA,"Colombia-Huila","province",823,5665,91,"cases"
NA,"Colombia-Tolima","province",742,5566,235,"cases"
NA,"Colombia-Cundinamarca","province",312,4413,295,"cases"
NA,"Colombia-Barranquilla","province",225,4171,0,"cases"
NA,"Colombia-Meta","province",416,2823,53,"cases"
NA,"Colombia-Cordoba","province",244,2388,531,"cases"
NA,"Colombia-Casanare","province",204,2655,17,"cases"
NA,"Colombia-Antioquia","province",323,1630,247,"cases"
NA,"Colombia-Atlantico","province",118,1782,94,"cases"
NA,"Colombia-Santa_Marta","province",149,1740,0,"cases"
NA,"Colombia-Sucre","province",104,1236,231,"cases"
NA,"Colombia-Arauca","province",120,1331,46,"cases"
NA,"Colombia-Cesar","province",232,1132,107,"cases"
NA,"Colombia-Magdalena","province",134,932,160,"cases"
NA,"Colombia-San_Andres","province",64,1035,15,"cases"
NA,"Colombia-Risaralda","province",119,987,2,"cases"
NA,"Colombia-Caqueta","province",124,951,25,"cases"
NA,"Colombia-Cartagena","province",92,877,0,"cases"
NA,"Colombia-Bolivar","province",134,559,144,"cases"
NA,"Colombia-Guajira","province",93,496,104,"cases"
NA,"Colombia-Putumayo","province",92,373,6,"cases"
NA,"Colombia-Buenaventura","province",4,426,0,"cases"
NA,"Colombia-Quindio","province",21,270,37,"cases"
NA,"Colombia-Amazonas","province",27,252,38,"cases"
NA,"Colombia-Boyaca","province",77,199,25,"cases"
NA,"Colombia-Caldas","province",62,157,22,"cases"
NA,"Colombia-Cauca","province",26,126,64,"cases"
NA,"Colombia-Guaviare","province",11,144,19,"cases"
NA,"Colombia-Desconocido","province",50,0,86,"cases"
NA,"Colombia-Exterior","province",23,0,74,"cases"
NA,"Colombia-Narino","province",18,17,20,"cases"
NA,"Colombia-Vichada","province",5,17,29,"cases"
NA,"Colombia-Choco","province",5,8,26,"cases"
NA,"Colombia-Guainia","province",2,10,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
