"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,25377,185,"cases"
NA,"Colombia-Norte_Santander","province",1521,8856,105,"cases"
NA,"Colombia-Santander","province",443,9378,386,"cases"
NA,"Colombia-Tolima","province",822,6134,199,"cases"
NA,"Colombia-Huila","province",915,5926,116,"cases"
NA,"Colombia-Cundinamarca","province",317,4637,326,"cases"
NA,"Colombia-Barranquilla","province",238,4431,0,"cases"
NA,"Colombia-Meta","province",580,3647,79,"cases"
NA,"Colombia-Casanare","province",280,3632,22,"cases"
NA,"Colombia-Cordoba","province",253,2451,527,"cases"
NA,"Colombia-Antioquia","province",335,1894,314,"cases"
NA,"Colombia-Atlantico","province",121,1894,106,"cases"
NA,"Colombia-Santa_Marta","province",155,1790,0,"cases"
NA,"Colombia-Arauca","province",191,1644,34,"cases"
NA,"Colombia-Sucre","province",107,1313,216,"cases"
NA,"Colombia-Cesar","province",245,1256,130,"cases"
NA,"Colombia-Magdalena","province",140,1000,180,"cases"
NA,"Colombia-Risaralda","province",130,1163,4,"cases"
NA,"Colombia-Caqueta","province",234,894,25,"cases"
NA,"Colombia-San_Andres","province",66,1067,17,"cases"
NA,"Colombia-Cartagena","province",103,934,0,"cases"
NA,"Colombia-Bolivar","province",139,596,170,"cases"
NA,"Colombia-Guajira","province",95,519,108,"cases"
NA,"Colombia-Putumayo","province",110,412,7,"cases"
NA,"Colombia-Buenaventura","province",5,458,0,"cases"
NA,"Colombia-Quindio","province",24,366,14,"cases"
NA,"Colombia-Boyaca","province",88,246,39,"cases"
NA,"Colombia-Cauca","province",34,179,121,"cases"
NA,"Colombia-Amazonas","province",28,256,45,"cases"
NA,"Colombia-Caldas","province",74,203,37,"cases"
NA,"Colombia-Guaviare","province",15,176,21,"cases"
NA,"Colombia-Desconocido","province",58,0,92,"cases"
NA,"Colombia-Narino","province",20,30,36,"cases"
NA,"Colombia-Vichada","province",5,33,39,"cases"
NA,"Colombia-Choco","province",5,12,42,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,11,0,"cases"
NA,"Colombia-Exterior","province",37,0,121,"cases"
