"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,23504,171,"cases"
NA,"Colombia-Norte_Santander","province",1521,8482,86,"cases"
NA,"Colombia-Santander","province",443,8637,352,"cases"
NA,"Colombia-Tolima","province",822,5876,188,"cases"
NA,"Colombia-Huila","province",915,5744,101,"cases"
NA,"Colombia-Cundinamarca","province",317,4572,312,"cases"
NA,"Colombia-Barranquilla","province",238,4286,0,"cases"
NA,"Colombia-Meta","province",580,3307,72,"cases"
NA,"Colombia-Casanare","province",280,3502,22,"cases"
NA,"Colombia-Cordoba","province",253,2422,519,"cases"
NA,"Colombia-Antioquia","province",335,1760,285,"cases"
NA,"Colombia-Atlantico","province",121,1866,97,"cases"
NA,"Colombia-Santa_Marta","province",155,1773,0,"cases"
NA,"Colombia-Arauca","province",191,1570,41,"cases"
NA,"Colombia-Sucre","province",107,1290,213,"cases"
NA,"Colombia-Cesar","province",245,1195,108,"cases"
NA,"Colombia-Magdalena","province",140,992,170,"cases"
NA,"Colombia-Risaralda","province",130,1150,2,"cases"
NA,"Colombia-Caqueta","province",234,879,25,"cases"
NA,"Colombia-San_Andres","province",66,1041,15,"cases"
NA,"Colombia-Cartagena","province",103,909,0,"cases"
NA,"Colombia-Bolivar","province",139,585,148,"cases"
NA,"Colombia-Guajira","province",95,511,105,"cases"
NA,"Colombia-Putumayo","province",110,394,6,"cases"
NA,"Colombia-Buenaventura","province",5,452,0,"cases"
NA,"Colombia-Quindio","province",24,340,12,"cases"
NA,"Colombia-Boyaca","province",88,221,35,"cases"
NA,"Colombia-Amazonas","province",28,255,46,"cases"
NA,"Colombia-Cauca","province",34,153,109,"cases"
NA,"Colombia-Caldas","province",74,176,28,"cases"
NA,"Colombia-Guaviare","province",15,170,20,"cases"
NA,"Colombia-Desconocido","province",58,0,68,"cases"
NA,"Colombia-Vichada","province",5,30,39,"cases"
NA,"Colombia-Narino","province",20,22,22,"cases"
NA,"Colombia-Choco","province",5,9,35,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Vaupes","province",0,0,13,"cases"
NA,"Colombia-Exterior","province",37,0,90,"cases"
