"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24485,177,"cases"
NA,"Colombia-Norte_Santander","province",1521,8581,91,"cases"
NA,"Colombia-Santander","province",443,9056,361,"cases"
NA,"Colombia-Tolima","province",822,5940,193,"cases"
NA,"Colombia-Huila","province",915,5775,106,"cases"
NA,"Colombia-Cundinamarca","province",317,4598,316,"cases"
NA,"Colombia-Barranquilla","province",238,4356,0,"cases"
NA,"Colombia-Meta","province",580,3471,76,"cases"
NA,"Colombia-Casanare","province",280,3570,22,"cases"
NA,"Colombia-Cordoba","province",253,2430,520,"cases"
NA,"Colombia-Antioquia","province",335,1795,301,"cases"
NA,"Colombia-Atlantico","province",121,1886,104,"cases"
NA,"Colombia-Santa_Marta","province",155,1780,0,"cases"
NA,"Colombia-Arauca","province",191,1606,41,"cases"
NA,"Colombia-Sucre","province",107,1295,214,"cases"
NA,"Colombia-Cesar","province",245,1214,117,"cases"
NA,"Colombia-Magdalena","province",140,996,171,"cases"
NA,"Colombia-Risaralda","province",130,1130,3,"cases"
NA,"Colombia-San_Andres","province",66,1056,15,"cases"
NA,"Colombia-Caqueta","province",234,861,25,"cases"
NA,"Colombia-Cartagena","province",103,916,0,"cases"
NA,"Colombia-Bolivar","province",139,587,152,"cases"
NA,"Colombia-Guajira","province",95,513,106,"cases"
NA,"Colombia-Putumayo","province",110,402,6,"cases"
NA,"Colombia-Buenaventura","province",5,453,0,"cases"
NA,"Colombia-Quindio","province",24,348,13,"cases"
NA,"Colombia-Boyaca","province",88,227,36,"cases"
NA,"Colombia-Amazonas","province",28,255,45,"cases"
NA,"Colombia-Cauca","province",34,155,112,"cases"
NA,"Colombia-Caldas","province",74,178,28,"cases"
NA,"Colombia-Guaviare","province",15,172,20,"cases"
NA,"Colombia-Desconocido","province",58,0,77,"cases"
NA,"Colombia-Vichada","province",5,31,40,"cases"
NA,"Colombia-Narino","province",20,25,28,"cases"
NA,"Colombia-Choco","province",5,9,37,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Exterior","province",37,0,99,"cases"
