"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,22939,167,"cases"
NA,"Colombia-Norte_Santander","province",1521,8394,84,"cases"
NA,"Colombia-Santander","province",443,8287,336,"cases"
NA,"Colombia-Tolima","province",822,5821,185,"cases"
NA,"Colombia-Huila","province",915,5704,100,"cases"
NA,"Colombia-Cundinamarca","province",317,4546,312,"cases"
NA,"Colombia-Barranquilla","province",238,4248,0,"cases"
NA,"Colombia-Meta","province",580,3234,70,"cases"
NA,"Colombia-Casanare","province",280,3402,22,"cases"
NA,"Colombia-Cordoba","province",253,2413,519,"cases"
NA,"Colombia-Antioquia","province",335,1733,266,"cases"
NA,"Colombia-Atlantico","province",121,1818,96,"cases"
NA,"Colombia-Santa_Marta","province",155,1763,0,"cases"
NA,"Colombia-Arauca","province",191,1534,41,"cases"
NA,"Colombia-Sucre","province",107,1279,213,"cases"
NA,"Colombia-Cesar","province",245,1171,107,"cases"
NA,"Colombia-Magdalena","province",140,967,167,"cases"
NA,"Colombia-Risaralda","province",130,1133,2,"cases"
NA,"Colombia-Caqueta","province",234,873,25,"cases"
NA,"Colombia-San_Andres","province",66,1036,15,"cases"
NA,"Colombia-Cartagena","province",103,901,0,"cases"
NA,"Colombia-Bolivar","province",139,579,148,"cases"
NA,"Colombia-Guajira","province",95,507,105,"cases"
NA,"Colombia-Putumayo","province",110,389,6,"cases"
NA,"Colombia-Buenaventura","province",5,449,0,"cases"
NA,"Colombia-Quindio","province",24,337,12,"cases"
NA,"Colombia-Boyaca","province",88,219,32,"cases"
NA,"Colombia-Amazonas","province",28,255,46,"cases"
NA,"Colombia-Cauca","province",34,151,101,"cases"
NA,"Colombia-Caldas","province",74,169,29,"cases"
NA,"Colombia-Guaviare","province",15,168,20,"cases"
NA,"Colombia-Desconocido","province",58,0,62,"cases"
NA,"Colombia-Exterior","province",37,0,82,"cases"
NA,"Colombia-Vichada","province",5,28,36,"cases"
NA,"Colombia-Narino","province",20,21,22,"cases"
NA,"Colombia-Choco","province",5,9,35,"cases"
NA,"Colombia-Guainia","province",3,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
