"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",888,22439,162,"cases"
NA,"Colombia-Norte_Santander","province",1509,8374,83,"cases"
NA,"Colombia-Santander","province",434,8090,375,"cases"
NA,"Colombia-Tolima","province",817,5801,184,"cases"
NA,"Colombia-Huila","province",908,5696,98,"cases"
NA,"Colombia-Cundinamarca","province",316,4531,311,"cases"
NA,"Colombia-Barranquilla","province",235,4234,0,"cases"
NA,"Colombia-Meta","province",565,3136,69,"cases"
NA,"Colombia-Casanare","province",275,3325,22,"cases"
NA,"Colombia-Cordoba","province",251,2410,520,"cases"
NA,"Colombia-Antioquia","province",334,1723,256,"cases"
NA,"Colombia-Atlantico","province",121,1811,97,"cases"
NA,"Colombia-Santa_Marta","province",154,1758,0,"cases"
NA,"Colombia-Arauca","province",188,1507,41,"cases"
NA,"Colombia-Sucre","province",107,1278,213,"cases"
NA,"Colombia-Cesar","province",244,1161,104,"cases"
NA,"Colombia-Magdalena","province",140,957,165,"cases"
NA,"Colombia-Risaralda","province",124,1117,2,"cases"
NA,"Colombia-Caqueta","province",151,944,28,"cases"
NA,"Colombia-San_Andres","province",65,1037,14,"cases"
NA,"Colombia-Cartagena","province",102,898,0,"cases"
NA,"Colombia-Bolivar","province",139,580,148,"cases"
NA,"Colombia-Guajira","province",95,504,105,"cases"
NA,"Colombia-Putumayo","province",105,388,6,"cases"
NA,"Colombia-Buenaventura","province",5,448,0,"cases"
NA,"Colombia-Quindio","province",24,329,11,"cases"
NA,"Colombia-Boyaca","province",84,218,31,"cases"
NA,"Colombia-Amazonas","province",28,254,43,"cases"
NA,"Colombia-Cauca","province",33,149,96,"cases"
NA,"Colombia-Caldas","province",72,168,29,"cases"
NA,"Colombia-Guaviare","province",15,163,20,"cases"
NA,"Colombia-Exterior","province",37,0,81,"cases"
NA,"Colombia-Desconocido","province",54,0,63,"cases"
NA,"Colombia-Vichada","province",5,28,36,"cases"
NA,"Colombia-Narino","province",19,21,23,"cases"
NA,"Colombia-Choco","province",5,9,34,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
