"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24752,178,"cases"
NA,"Colombia-Norte_Santander","province",1521,8716,93,"cases"
NA,"Colombia-Santander","province",443,9199,369,"cases"
NA,"Colombia-Tolima","province",822,6002,197,"cases"
NA,"Colombia-Huila","province",915,5788,107,"cases"
NA,"Colombia-Cundinamarca","province",317,4605,321,"cases"
NA,"Colombia-Barranquilla","province",238,4359,0,"cases"
NA,"Colombia-Meta","province",580,3515,77,"cases"
NA,"Colombia-Casanare","province",280,3588,22,"cases"
NA,"Colombia-Cordoba","province",253,2431,526,"cases"
NA,"Colombia-Antioquia","province",335,1834,310,"cases"
NA,"Colombia-Atlantico","province",121,1856,104,"cases"
NA,"Colombia-Santa_Marta","province",155,1786,0,"cases"
NA,"Colombia-Arauca","province",191,1619,41,"cases"
NA,"Colombia-Sucre","province",107,1295,214,"cases"
NA,"Colombia-Cesar","province",245,1228,120,"cases"
NA,"Colombia-Magdalena","province",140,982,172,"cases"
NA,"Colombia-Risaralda","province",130,1161,3,"cases"
NA,"Colombia-Caqueta","province",234,886,25,"cases"
NA,"Colombia-San_Andres","province",66,1057,16,"cases"
NA,"Colombia-Cartagena","province",103,924,0,"cases"
NA,"Colombia-Bolivar","province",139,591,154,"cases"
NA,"Colombia-Guajira","province",95,516,107,"cases"
NA,"Colombia-Putumayo","province",110,408,7,"cases"
NA,"Colombia-Buenaventura","province",5,455,0,"cases"
NA,"Colombia-Quindio","province",24,357,13,"cases"
NA,"Colombia-Boyaca","province",88,232,36,"cases"
NA,"Colombia-Amazonas","province",28,255,45,"cases"
NA,"Colombia-Cauca","province",34,164,115,"cases"
NA,"Colombia-Caldas","province",74,189,30,"cases"
NA,"Colombia-Guaviare","province",15,172,20,"cases"
NA,"Colombia-Desconocido","province",58,0,79,"cases"
NA,"Colombia-Vichada","province",5,32,41,"cases"
NA,"Colombia-Narino","province",20,27,29,"cases"
NA,"Colombia-Choco","province",5,9,37,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Exterior","province",37,0,102,"cases"
