"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",866,21220,154,"cases"
NA,"Colombia-Norte_Santander","province",1507,8333,76,"cases"
NA,"Colombia-Santander","province",432,7584,356,"cases"
NA,"Colombia-Tolima","province",812,5713,186,"cases"
NA,"Colombia-Huila","province",897,5674,97,"cases"
NA,"Colombia-Cundinamarca","province",315,4502,310,"cases"
NA,"Colombia-Barranquilla","province",233,4200,0,"cases"
NA,"Colombia-Meta","province",540,3045,64,"cases"
NA,"Colombia-Casanare","province",267,3117,21,"cases"
NA,"Colombia-Cordoba","province",248,2389,535,"cases"
NA,"Colombia-Antioquia","province",331,1690,250,"cases"
NA,"Colombia-Atlantico","province",120,1790,95,"cases"
NA,"Colombia-Santa_Marta","province",154,1754,0,"cases"
NA,"Colombia-Arauca","province",168,1473,48,"cases"
NA,"Colombia-Sucre","province",106,1273,209,"cases"
NA,"Colombia-Cesar","province",243,1152,101,"cases"
NA,"Colombia-Magdalena","province",140,945,163,"cases"
NA,"Colombia-Risaralda","province",123,1082,2,"cases"
NA,"Colombia-Caqueta","province",124,964,26,"cases"
NA,"Colombia-San_Andres","province",65,1035,13,"cases"
NA,"Colombia-Cartagena","province",98,891,0,"cases"
NA,"Colombia-Bolivar","province",139,578,145,"cases"
NA,"Colombia-Guajira","province",95,501,105,"cases"
NA,"Colombia-Putumayo","province",102,381,6,"cases"
NA,"Colombia-Buenaventura","province",4,445,0,"cases"
NA,"Colombia-Quindio","province",24,318,11,"cases"
NA,"Colombia-Boyaca","province",84,211,29,"cases"
NA,"Colombia-Amazonas","province",28,253,42,"cases"
NA,"Colombia-Cauca","province",30,140,87,"cases"
NA,"Colombia-Caldas","province",72,152,28,"cases"
NA,"Colombia-Guaviare","province",13,160,20,"cases"
NA,"Colombia-Desconocido","province",53,0,63,"cases"
NA,"Colombia-Exterior","province",36,0,78,"cases"
NA,"Colombia-Narino","province",19,20,22,"cases"
NA,"Colombia-Vichada","province",5,21,34,"cases"
NA,"Colombia-Choco","province",5,8,34,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
