"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,25414,245,"cases"
NA,"Colombia-Norte_Santander","province",1521,8862,107,"cases"
NA,"Colombia-Santander","province",443,9409,392,"cases"
NA,"Colombia-Tolima","province",822,6143,198,"cases"
NA,"Colombia-Huila","province",915,5952,114,"cases"
NA,"Colombia-Cundinamarca","province",317,4620,349,"cases"
NA,"Colombia-Barranquilla","province",238,4436,0,"cases"
NA,"Colombia-Meta","province",580,3659,82,"cases"
NA,"Colombia-Casanare","province",280,3647,22,"cases"
NA,"Colombia-Cordoba","province",253,2590,524,"cases"
NA,"Colombia-Antioquia","province",335,1895,318,"cases"
NA,"Colombia-Atlantico","province",121,1886,116,"cases"
NA,"Colombia-Santa_Marta","province",155,1789,0,"cases"
NA,"Colombia-Arauca","province",191,1651,34,"cases"
NA,"Colombia-Sucre","province",107,1315,214,"cases"
NA,"Colombia-Cesar","province",245,1261,131,"cases"
NA,"Colombia-Magdalena","province",140,1000,185,"cases"
NA,"Colombia-Risaralda","province",130,1164,4,"cases"
NA,"Colombia-Caqueta","province",234,901,23,"cases"
NA,"Colombia-San_Andres","province",66,1068,16,"cases"
NA,"Colombia-Cartagena","province",103,937,0,"cases"
NA,"Colombia-Bolivar","province",139,592,186,"cases"
NA,"Colombia-Guajira","province",95,522,105,"cases"
NA,"Colombia-Putumayo","province",110,415,6,"cases"
NA,"Colombia-Buenaventura","province",5,458,0,"cases"
NA,"Colombia-Quindio","province",24,367,13,"cases"
NA,"Colombia-Boyaca","province",88,254,40,"cases"
NA,"Colombia-Cauca","province",34,185,123,"cases"
NA,"Colombia-Amazonas","province",28,257,45,"cases"
NA,"Colombia-Caldas","province",74,205,44,"cases"
NA,"Colombia-Guaviare","province",15,176,21,"cases"
NA,"Colombia-Desconocido","province",58,0,105,"cases"
NA,"Colombia-Narino","province",20,30,36,"cases"
NA,"Colombia-Vichada","province",5,33,40,"cases"
NA,"Colombia-Choco","province",5,13,44,"cases"
NA,"Colombia-Vaupes","province",0,0,15,"cases"
NA,"Colombia-Guainia","province",3,11,0,"cases"
NA,"Colombia-Exterior","province",37,0,122,"cases"
