"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",1104,25303,273,"cases"
NA,"Colombia-Norte_Santander","province",1594,8840,93,"cases"
NA,"Colombia-Santander","province",547,9420,343,"cases"
NA,"Colombia-Tolima","province",883,6125,197,"cases"
NA,"Colombia-Huila","province",951,5987,108,"cases"
NA,"Colombia-Cundinamarca","province",331,4706,270,"cases"
NA,"Colombia-Barranquilla","province",266,4427,0,"cases"
NA,"Colombia-Meta","province",636,3654,47,"cases"
NA,"Colombia-Casanare","province",315,3627,20,"cases"
NA,"Colombia-Cordoba","province",263,2605,511,"cases"
NA,"Colombia-Antioquia","province",371,1913,310,"cases"
NA,"Colombia-Atlantico","province",142,1868,123,"cases"
NA,"Colombia-Santa_Marta","province",151,1788,0,"cases"
NA,"Colombia-Arauca","province",200,1646,34,"cases"
NA,"Colombia-Cesar","province",283,1304,67,"cases"
NA,"Colombia-Sucre","province",120,1421,97,"cases"
NA,"Colombia-Magdalena","province",141,994,194,"cases"
NA,"Colombia-Risaralda","province",146,1162,4,"cases"
NA,"Colombia-Caqueta","province",257,894,15,"cases"
NA,"Colombia-San_Andres","province",65,1068,16,"cases"
NA,"Colombia-Cartagena","province",112,938,0,"cases"
NA,"Colombia-Bolivar","province",154,631,151,"cases"
NA,"Colombia-Guajira","province",97,520,104,"cases"
NA,"Colombia-Putumayo","province",118,413,6,"cases"
NA,"Colombia-Buenaventura","province",10,461,0,"cases"
NA,"Colombia-Quindio","province",29,364,13,"cases"
NA,"Colombia-Boyaca","province",120,247,39,"cases"
NA,"Colombia-Cauca","province",59,200,97,"cases"
NA,"Colombia-Caldas","province",99,231,12,"cases"
NA,"Colombia-Amazonas","province",28,259,45,"cases"
NA,"Colombia-Guaviare","province",18,176,21,"cases"
NA,"Colombia-Desconocido","province",84,0,111,"cases"
NA,"Colombia-Narino","province",24,32,34,"cases"
NA,"Colombia-Vichada","province",5,32,40,"cases"
NA,"Colombia-Choco","province",5,15,45,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Exterior","province",69,0,124,"cases"
