"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",570,16798,209,"cases"
NA,"Colombia-Norte_Santander","province",1314,8196,65,"cases"
NA,"Colombia-Huila","province",744,5661,89,"cases"
NA,"Colombia-Tolima","province",391,5689,262,"cases"
NA,"Colombia-Santander","province",220,5704,263,"cases"
NA,"Colombia-Cundinamarca","province",288,4313,309,"cases"
NA,"Colombia-Barranquilla","province",168,4208,0,"cases"
NA,"Colombia-Cordoba","province",190,2421,524,"cases"
NA,"Colombia-Meta","province",342,2509,147,"cases"
NA,"Colombia-Casanare","province",149,2252,16,"cases"
NA,"Colombia-Antioquia","province",304,1593,232,"cases"
NA,"Colombia-Atlantico","province",85,1791,89,"cases"
NA,"Colombia-Santa_Marta","province",145,1739,0,"cases"
NA,"Colombia-Sucre","province",104,1239,230,"cases"
NA,"Colombia-Cesar","province",205,1120,106,"cases"
NA,"Colombia-Arauca","province",112,1191,32,"cases"
NA,"Colombia-Magdalena","province",123,919,157,"cases"
NA,"Colombia-San_Andres","province",62,1025,16,"cases"
NA,"Colombia-Caqueta","province",120,927,30,"cases"
NA,"Colombia-Risaralda","province",104,908,3,"cases"
NA,"Colombia-Cartagena","province",85,866,0,"cases"
NA,"Colombia-Bolivar","province",122,553,164,"cases"
NA,"Colombia-Guajira","province",85,498,102,"cases"
NA,"Colombia-Putumayo","province",89,360,7,"cases"
NA,"Colombia-Buenaventura","province",2,415,0,"cases"
NA,"Colombia-Quindio","province",20,254,32,"cases"
NA,"Colombia-Amazonas","province",9,249,34,"cases"
NA,"Colombia-Boyaca","province",72,192,25,"cases"
NA,"Colombia-Caldas","province",54,138,34,"cases"
NA,"Colombia-Cauca","province",24,118,53,"cases"
NA,"Colombia-Desconocido","province",44,0,92,"cases"
NA,"Colombia-Guaviare","province",11,100,17,"cases"
NA,"Colombia-Exterior","province",18,0,74,"cases"
NA,"Colombia-Narino","province",17,17,18,"cases"
NA,"Colombia-Vichada","province",5,16,27,"cases"
NA,"Colombia-Choco","province",5,7,23,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
NA,"Colombia-Guainia","province",0,0,9,"cases"
