"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24231,177,"cases"
NA,"Colombia-Norte_Santander","province",1521,8550,88,"cases"
NA,"Colombia-Santander","province",443,8921,357,"cases"
NA,"Colombia-Tolima","province",822,5930,191,"cases"
NA,"Colombia-Huila","province",915,5762,107,"cases"
NA,"Colombia-Cundinamarca","province",317,4592,316,"cases"
NA,"Colombia-Barranquilla","province",238,4340,0,"cases"
NA,"Colombia-Meta","province",580,3425,73,"cases"
NA,"Colombia-Casanare","province",280,3548,22,"cases"
NA,"Colombia-Cordoba","province",253,2428,519,"cases"
NA,"Colombia-Antioquia","province",335,1783,300,"cases"
NA,"Colombia-Atlantico","province",121,1881,100,"cases"
NA,"Colombia-Santa_Marta","province",155,1779,0,"cases"
NA,"Colombia-Arauca","province",191,1598,41,"cases"
NA,"Colombia-Sucre","province",107,1294,214,"cases"
NA,"Colombia-Cesar","province",245,1208,115,"cases"
NA,"Colombia-Magdalena","province",140,996,170,"cases"
NA,"Colombia-Risaralda","province",130,1177,3,"cases"
NA,"Colombia-Caqueta","province",234,890,25,"cases"
NA,"Colombia-San_Andres","province",66,1055,15,"cases"
NA,"Colombia-Cartagena","province",103,912,0,"cases"
NA,"Colombia-Bolivar","province",139,585,152,"cases"
NA,"Colombia-Guajira","province",95,512,106,"cases"
NA,"Colombia-Putumayo","province",110,398,6,"cases"
NA,"Colombia-Buenaventura","province",5,450,0,"cases"
NA,"Colombia-Quindio","province",24,342,13,"cases"
NA,"Colombia-Boyaca","province",88,226,36,"cases"
NA,"Colombia-Amazonas","province",28,255,45,"cases"
NA,"Colombia-Cauca","province",34,155,111,"cases"
NA,"Colombia-Caldas","province",74,176,27,"cases"
NA,"Colombia-Guaviare","province",15,172,20,"cases"
NA,"Colombia-Desconocido","province",58,0,73,"cases"
NA,"Colombia-Vichada","province",5,31,39,"cases"
NA,"Colombia-Narino","province",20,24,25,"cases"
NA,"Colombia-Choco","province",5,9,37,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Vaupes","province",0,0,15,"cases"
NA,"Colombia-Exterior","province",37,0,98,"cases"
