"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24565,177,"cases"
NA,"Colombia-Norte_Santander","province",1521,8602,92,"cases"
NA,"Colombia-Santander","province",443,9132,362,"cases"
NA,"Colombia-Tolima","province",822,5953,194,"cases"
NA,"Colombia-Huila","province",915,5779,106,"cases"
NA,"Colombia-Cundinamarca","province",317,4600,318,"cases"
NA,"Colombia-Barranquilla","province",238,4362,0,"cases"
NA,"Colombia-Meta","province",580,3492,77,"cases"
NA,"Colombia-Casanare","province",280,3577,22,"cases"
NA,"Colombia-Cordoba","province",253,2430,521,"cases"
NA,"Colombia-Antioquia","province",335,1807,304,"cases"
NA,"Colombia-Atlantico","province",121,1885,104,"cases"
NA,"Colombia-Santa_Marta","province",155,1779,0,"cases"
NA,"Colombia-Arauca","province",191,1608,41,"cases"
NA,"Colombia-Sucre","province",107,1296,214,"cases"
NA,"Colombia-Cesar","province",245,1217,118,"cases"
NA,"Colombia-Magdalena","province",140,997,171,"cases"
NA,"Colombia-Risaralda","province",130,1138,3,"cases"
NA,"Colombia-San_Andres","province",66,1058,15,"cases"
NA,"Colombia-Caqueta","province",234,862,25,"cases"
NA,"Colombia-Cartagena","province",103,919,0,"cases"
NA,"Colombia-Bolivar","province",139,587,152,"cases"
NA,"Colombia-Guajira","province",95,513,106,"cases"
NA,"Colombia-Putumayo","province",110,403,6,"cases"
NA,"Colombia-Buenaventura","province",5,453,0,"cases"
NA,"Colombia-Quindio","province",24,352,13,"cases"
NA,"Colombia-Boyaca","province",88,229,36,"cases"
NA,"Colombia-Amazonas","province",28,255,44,"cases"
NA,"Colombia-Cauca","province",34,156,113,"cases"
NA,"Colombia-Caldas","province",74,179,29,"cases"
NA,"Colombia-Guaviare","province",15,172,20,"cases"
NA,"Colombia-Desconocido","province",58,0,76,"cases"
NA,"Colombia-Vichada","province",5,31,40,"cases"
NA,"Colombia-Narino","province",20,25,29,"cases"
NA,"Colombia-Choco","province",5,9,37,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Exterior","province",37,0,101,"cases"
