"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",783,20407,241,"cases"
NA,"Colombia-Norte_Santander","province",1494,8309,69,"cases"
NA,"Colombia-Santander","province",404,7335,355,"cases"
NA,"Colombia-Tolima","province",802,5651,235,"cases"
NA,"Colombia-Huila","province",871,5679,93,"cases"
NA,"Colombia-Cundinamarca","province",315,4468,307,"cases"
NA,"Colombia-Barranquilla","province",230,4191,0,"cases"
NA,"Colombia-Meta","province",498,2993,62,"cases"
NA,"Colombia-Casanare","province",249,2969,20,"cases"
NA,"Colombia-Cordoba","province",246,2392,535,"cases"
NA,"Colombia-Antioquia","province",329,1672,243,"cases"
NA,"Colombia-Atlantico","province",119,1791,95,"cases"
NA,"Colombia-Santa_Marta","province",151,1751,0,"cases"
NA,"Colombia-Arauca","province",165,1420,47,"cases"
NA,"Colombia-Sucre","province",106,1270,206,"cases"
NA,"Colombia-Cesar","province",235,1147,99,"cases"
NA,"Colombia-Magdalena","province",140,935,161,"cases"
NA,"Colombia-Risaralda","province",120,1054,2,"cases"
NA,"Colombia-San_Andres","province",65,1035,14,"cases"
NA,"Colombia-Caqueta","province",124,961,26,"cases"
NA,"Colombia-Cartagena","province",95,887,0,"cases"
NA,"Colombia-Bolivar","province",136,575,144,"cases"
NA,"Colombia-Guajira","province",93,501,105,"cases"
NA,"Colombia-Putumayo","province",94,382,6,"cases"
NA,"Colombia-Buenaventura","province",4,441,0,"cases"
NA,"Colombia-Quindio","province",23,311,11,"cases"
NA,"Colombia-Amazonas","province",27,253,39,"cases"
NA,"Colombia-Boyaca","province",78,206,28,"cases"
NA,"Colombia-Caldas","province",69,150,30,"cases"
NA,"Colombia-Cauca","province",29,136,81,"cases"
NA,"Colombia-Guaviare","province",11,155,20,"cases"
NA,"Colombia-Desconocido","province",52,0,84,"cases"
NA,"Colombia-Exterior","province",33,0,78,"cases"
NA,"Colombia-Narino","province",19,20,22,"cases"
NA,"Colombia-Vichada","province",5,20,32,"cases"
NA,"Colombia-Choco","province",5,8,34,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
