"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24777,178,"cases"
NA,"Colombia-Norte_Santander","province",1521,8785,98,"cases"
NA,"Colombia-Santander","province",443,9244,371,"cases"
NA,"Colombia-Tolima","province",822,6028,198,"cases"
NA,"Colombia-Huila","province",915,5816,109,"cases"
NA,"Colombia-Cundinamarca","province",317,4612,319,"cases"
NA,"Colombia-Barranquilla","province",238,4400,0,"cases"
NA,"Colombia-Meta","province",580,3547,77,"cases"
NA,"Colombia-Casanare","province",280,3596,22,"cases"
NA,"Colombia-Cordoba","province",253,2437,527,"cases"
NA,"Colombia-Antioquia","province",335,1845,309,"cases"
NA,"Colombia-Atlantico","province",121,1867,105,"cases"
NA,"Colombia-Santa_Marta","province",155,1786,0,"cases"
NA,"Colombia-Arauca","province",191,1623,41,"cases"
NA,"Colombia-Sucre","province",107,1302,215,"cases"
NA,"Colombia-Cesar","province",245,1235,122,"cases"
NA,"Colombia-Magdalena","province",140,988,173,"cases"
NA,"Colombia-Risaralda","province",130,1167,3,"cases"
NA,"Colombia-Caqueta","province",234,899,25,"cases"
NA,"Colombia-San_Andres","province",66,1057,17,"cases"
NA,"Colombia-Cartagena","province",103,927,0,"cases"
NA,"Colombia-Bolivar","province",139,592,154,"cases"
NA,"Colombia-Guajira","province",95,517,108,"cases"
NA,"Colombia-Putumayo","province",110,410,7,"cases"
NA,"Colombia-Buenaventura","province",5,455,0,"cases"
NA,"Colombia-Quindio","province",24,359,13,"cases"
NA,"Colombia-Boyaca","province",88,236,36,"cases"
NA,"Colombia-Amazonas","province",28,255,45,"cases"
NA,"Colombia-Cauca","province",34,168,116,"cases"
NA,"Colombia-Caldas","province",74,197,30,"cases"
NA,"Colombia-Guaviare","province",15,175,20,"cases"
NA,"Colombia-Desconocido","province",58,0,80,"cases"
NA,"Colombia-Vichada","province",5,32,41,"cases"
NA,"Colombia-Narino","province",20,27,29,"cases"
NA,"Colombia-Choco","province",5,11,37,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,11,0,"cases"
NA,"Colombia-Exterior","province",37,0,107,"cases"
