"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",220,15406,787,"cases"
NA,"Colombia-Norte_Santander","province",1149,8131,93,"cases"
NA,"Colombia-Huila","province",638,5611,172,"cases"
NA,"Colombia-Tolima","province",272,5649,332,"cases"
NA,"Colombia-Santander","province",125,5225,288,"cases"
NA,"Colombia-Cundinamarca","province",224,4304,316,"cases"
NA,"Colombia-Barranquilla","province",115,4230,0,"cases"
NA,"Colombia-Cordoba","province",177,2422,524,"cases"
NA,"Colombia-Meta","province",142,2424,237,"cases"
NA,"Colombia-Casanare","province",66,2033,25,"cases"
NA,"Colombia-Antioquia","province",271,1548,268,"cases"
NA,"Colombia-Atlantico","province",61,1747,152,"cases"
NA,"Colombia-Santa_Marta","province",140,1738,0,"cases"
NA,"Colombia-Sucre","province",98,1160,311,"cases"
NA,"Colombia-Cesar","province",190,1094,134,"cases"
NA,"Colombia-Arauca","province",57,1162,24,"cases"
NA,"Colombia-Magdalena","province",100,918,173,"cases"
NA,"Colombia-San_Andres","province",62,1012,15,"cases"
NA,"Colombia-Caqueta","province",111,920,31,"cases"
NA,"Colombia-Cartagena","province",84,858,0,"cases"
NA,"Colombia-Risaralda","province",82,853,3,"cases"
NA,"Colombia-Bolivar","province",116,583,129,"cases"
NA,"Colombia-Guajira","province",84,498,103,"cases"
NA,"Colombia-Putumayo","province",62,362,7,"cases"
NA,"Colombia-Buenaventura","province",3,406,0,"cases"
NA,"Colombia-Quindio","province",7,206,77,"cases"
NA,"Colombia-Amazonas","province",9,245,31,"cases"
NA,"Colombia-Boyaca","province",60,195,26,"cases"
NA,"Colombia-Caldas","province",49,121,49,"cases"
NA,"Colombia-Cauca","province",17,111,51,"cases"
NA,"Colombia-Desconocido","province",30,0,98,"cases"
NA,"Colombia-Guaviare","province",4,93,15,"cases"
NA,"Colombia-Exterior","province",16,0,69,"cases"
NA,"Colombia-Narino","province",16,16,17,"cases"
NA,"Colombia-Vichada","province",5,11,26,"cases"
NA,"Colombia-Choco","province",5,7,23,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
NA,"Colombia-Guainia","province",0,0,10,"cases"
