"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,24016,176,"cases"
NA,"Colombia-Norte_Santander","province",1521,8531,86,"cases"
NA,"Colombia-Santander","province",443,8858,359,"cases"
NA,"Colombia-Tolima","province",822,5913,191,"cases"
NA,"Colombia-Huila","province",915,5756,106,"cases"
NA,"Colombia-Cundinamarca","province",317,4589,314,"cases"
NA,"Colombia-Barranquilla","province",238,4333,0,"cases"
NA,"Colombia-Meta","province",580,3387,73,"cases"
NA,"Colombia-Casanare","province",280,3536,22,"cases"
NA,"Colombia-Cordoba","province",253,2426,520,"cases"
NA,"Colombia-Antioquia","province",335,1777,293,"cases"
NA,"Colombia-Atlantico","province",121,1878,100,"cases"
NA,"Colombia-Santa_Marta","province",155,1777,0,"cases"
NA,"Colombia-Arauca","province",191,1594,41,"cases"
NA,"Colombia-Sucre","province",107,1293,213,"cases"
NA,"Colombia-Cesar","province",245,1207,112,"cases"
NA,"Colombia-Risaralda","province",130,1174,3,"cases"
NA,"Colombia-Magdalena","province",140,995,170,"cases"
NA,"Colombia-Caqueta","province",234,886,26,"cases"
NA,"Colombia-San_Andres","province",66,1043,15,"cases"
NA,"Colombia-Cartagena","province",103,912,0,"cases"
NA,"Colombia-Bolivar","province",139,585,150,"cases"
NA,"Colombia-Guajira","province",95,514,105,"cases"
NA,"Colombia-Putumayo","province",110,397,6,"cases"
NA,"Colombia-Buenaventura","province",5,450,0,"cases"
NA,"Colombia-Quindio","province",24,341,13,"cases"
NA,"Colombia-Boyaca","province",88,224,36,"cases"
NA,"Colombia-Amazonas","province",28,255,45,"cases"
NA,"Colombia-Cauca","province",34,157,112,"cases"
NA,"Colombia-Caldas","province",74,179,26,"cases"
NA,"Colombia-Guaviare","province",15,172,20,"cases"
NA,"Colombia-Desconocido","province",58,0,71,"cases"
NA,"Colombia-Vichada","province",5,31,39,"cases"
NA,"Colombia-Narino","province",20,24,25,"cases"
NA,"Colombia-Choco","province",5,9,36,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Exterior","province",37,0,95,"cases"
