"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",570,18044,223,"cases"
NA,"Colombia-Norte_Santander","province",1314,8448,67,"cases"
NA,"Colombia-Santander","province",220,6224,297,"cases"
NA,"Colombia-Huila","province",744,5768,93,"cases"
NA,"Colombia-Tolima","province",391,5809,264,"cases"
NA,"Colombia-Cundinamarca","province",288,4387,319,"cases"
NA,"Colombia-Barranquilla","province",168,4271,0,"cases"
NA,"Colombia-Meta","province",342,2703,155,"cases"
NA,"Colombia-Cordoba","province",190,2430,532,"cases"
NA,"Colombia-Casanare","province",149,2527,17,"cases"
NA,"Colombia-Antioquia","province",304,1636,251,"cases"
NA,"Colombia-Atlantico","province",85,1803,94,"cases"
NA,"Colombia-Santa_Marta","province",145,1746,0,"cases"
NA,"Colombia-Sucre","province",104,1250,232,"cases"
NA,"Colombia-Cesar","province",205,1145,110,"cases"
NA,"Colombia-Arauca","province",112,1281,39,"cases"
NA,"Colombia-Magdalena","province",123,932,158,"cases"
NA,"Colombia-San_Andres","province",62,1039,16,"cases"
NA,"Colombia-Caqueta","province",120,936,30,"cases"
NA,"Colombia-Risaralda","province",104,966,4,"cases"
NA,"Colombia-Cartagena","province",85,884,0,"cases"
NA,"Colombia-Bolivar","province",122,555,167,"cases"
NA,"Colombia-Guajira","province",85,508,106,"cases"
NA,"Colombia-Putumayo","province",89,373,7,"cases"
NA,"Colombia-Buenaventura","province",2,422,0,"cases"
NA,"Colombia-Quindio","province",20,263,42,"cases"
NA,"Colombia-Amazonas","province",9,265,36,"cases"
NA,"Colombia-Boyaca","province",72,205,29,"cases"
NA,"Colombia-Caldas","province",54,157,53,"cases"
NA,"Colombia-Cauca","province",24,129,59,"cases"
NA,"Colombia-Guaviare","province",11,114,19,"cases"
NA,"Colombia-Desconocido","province",44,0,95,"cases"
NA,"Colombia-Exterior","province",18,0,78,"cases"
NA,"Colombia-Narino","province",17,19,18,"cases"
NA,"Colombia-Vichada","province",5,19,29,"cases"
NA,"Colombia-Choco","province",5,9,25,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
NA,"Colombia-Guainia","province",0,0,11,"cases"
