"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,23239,168,"cases"
NA,"Colombia-Norte_Santander","province",1521,8438,86,"cases"
NA,"Colombia-Santander","province",443,8487,340,"cases"
NA,"Colombia-Tolima","province",822,5845,187,"cases"
NA,"Colombia-Huila","province",915,5725,100,"cases"
NA,"Colombia-Cundinamarca","province",317,4559,313,"cases"
NA,"Colombia-Barranquilla","province",238,4279,0,"cases"
NA,"Colombia-Meta","province",580,3278,72,"cases"
NA,"Colombia-Casanare","province",280,3443,22,"cases"
NA,"Colombia-Cordoba","province",253,2419,520,"cases"
NA,"Colombia-Antioquia","province",335,1748,273,"cases"
NA,"Colombia-Atlantico","province",121,1860,97,"cases"
NA,"Colombia-Santa_Marta","province",155,1772,0,"cases"
NA,"Colombia-Arauca","province",191,1554,41,"cases"
NA,"Colombia-Sucre","province",107,1287,214,"cases"
NA,"Colombia-Cesar","province",245,1179,109,"cases"
NA,"Colombia-Magdalena","province",140,989,168,"cases"
NA,"Colombia-Risaralda","province",130,1143,2,"cases"
NA,"Colombia-Caqueta","province",234,877,25,"cases"
NA,"Colombia-San_Andres","province",66,1040,15,"cases"
NA,"Colombia-Cartagena","province",103,904,0,"cases"
NA,"Colombia-Bolivar","province",139,582,149,"cases"
NA,"Colombia-Guajira","province",95,508,105,"cases"
NA,"Colombia-Putumayo","province",110,393,6,"cases"
NA,"Colombia-Buenaventura","province",5,454,0,"cases"
NA,"Colombia-Quindio","province",24,339,12,"cases"
NA,"Colombia-Boyaca","province",88,219,34,"cases"
NA,"Colombia-Amazonas","province",28,255,46,"cases"
NA,"Colombia-Cauca","province",34,151,106,"cases"
NA,"Colombia-Caldas","province",74,174,27,"cases"
NA,"Colombia-Guaviare","province",15,169,20,"cases"
NA,"Colombia-Desconocido","province",58,0,66,"cases"
NA,"Colombia-Exterior","province",37,0,86,"cases"
NA,"Colombia-Vichada","province",5,30,37,"cases"
NA,"Colombia-Narino","province",20,22,22,"cases"
NA,"Colombia-Choco","province",5,9,35,"cases"
NA,"Colombia-Guainia","province",3,10,0,"cases"
NA,"Colombia-Vaupes","province",0,0,12,"cases"
