"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",641,7216,526,"cases"
NA,"Colombia-Huila","province",214,4575,549,"cases"
NA,"Colombia-Valle","province",35,4028,1033,"cases"
NA,"Colombia-Tolima","province",124,3524,446,"cases"
NA,"Colombia-Barranquilla","province",66,3821,0,"cases"
NA,"Colombia-Cundinamarca","province",97,3348,333,"cases"
NA,"Colombia-Cordoba","province",72,2164,636,"cases"
NA,"Colombia-Santa_Marta","province",59,1717,0,"cases"
NA,"Colombia-Atlantico","province",28,1531,203,"cases"
NA,"Colombia-Santander","province",31,1042,522,"cases"
NA,"Colombia-Antioquia","province",98,1005,390,"cases"
NA,"Colombia-Sucre","province",45,1049,365,"cases"
NA,"Colombia-Cesar","province",41,968,206,"cases"
NA,"Colombia-San_Andres","province",55,973,8,"cases"
NA,"Colombia-Meta","province",19,829,181,"cases"
NA,"Colombia-Magdalena","province",59,592,363,"cases"
NA,"Colombia-Cartagena","province",63,837,0,"cases"
NA,"Colombia-Bolivar","province",96,509,147,"cases"
NA,"Colombia-Casanare","province",18,604,76,"cases"
NA,"Colombia-Caqueta","province",24,541,56,"cases"
NA,"Colombia-Guajira","province",17,381,204,"cases"
NA,"Colombia-Risaralda","province",39,414,1,"cases"
NA,"Colombia-Arauca","province",14,338,1,"cases"
NA,"Colombia-Putumayo","province",35,194,23,"cases"
NA,"Colombia-Caldas","province",23,113,30,"cases"
NA,"Colombia-Amazonas","province",4,129,23,"cases"
NA,"Colombia-Boyaca","province",37,89,25,"cases"
NA,"Colombia-Buenaventura","province",1,132,0,"cases"
NA,"Colombia-Quindio","province",3,67,32,"cases"
NA,"Colombia-Cauca","province",6,44,32,"cases"
NA,"Colombia-Exterior","province",4,0,61,"cases"
NA,"Colombia-Desconocido","province",5,0,60,"cases"
NA,"Colombia-Narino","province",11,6,10,"cases"
NA,"Colombia-Choco","province",2,0,22,"cases"
NA,"Colombia-Guaviare","province",1,5,14,"cases"
NA,"Colombia-Vichada","province",3,4,6,"cases"
NA,"Colombia-Vaupes","province",0,0,6,"cases"
NA,"Colombia-Guainia","province",0,0,4,"cases"
