"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",783,19555,234,"cases"
NA,"Colombia-Norte_Santander","province",1494,8267,68,"cases"
NA,"Colombia-Santander","province",404,6873,334,"cases"
NA,"Colombia-Tolima","province",802,5597,233,"cases"
NA,"Colombia-Huila","province",871,5653,91,"cases"
NA,"Colombia-Cundinamarca","province",315,4438,303,"cases"
NA,"Colombia-Barranquilla","province",230,4177,0,"cases"
NA,"Colombia-Meta","province",498,2892,58,"cases"
NA,"Colombia-Cordoba","province",246,2391,533,"cases"
NA,"Colombia-Casanare","province",249,2727,19,"cases"
NA,"Colombia-Antioquia","province",329,1658,238,"cases"
NA,"Colombia-Atlantico","province",119,1794,95,"cases"
NA,"Colombia-Santa_Marta","province",151,1744,0,"cases"
NA,"Colombia-Sucre","province",106,1269,203,"cases"
NA,"Colombia-Arauca","province",165,1345,47,"cases"
NA,"Colombia-Cesar","province",235,1140,99,"cases"
NA,"Colombia-Magdalena","province",140,928,161,"cases"
NA,"Colombia-Risaralda","province",120,1023,2,"cases"
NA,"Colombia-San_Andres","province",65,1034,15,"cases"
NA,"Colombia-Caqueta","province",124,960,25,"cases"
NA,"Colombia-Cartagena","province",95,882,0,"cases"
NA,"Colombia-Bolivar","province",136,575,144,"cases"
NA,"Colombia-Guajira","province",93,500,105,"cases"
NA,"Colombia-Putumayo","province",94,379,6,"cases"
NA,"Colombia-Buenaventura","province",4,436,0,"cases"
NA,"Colombia-Quindio","province",23,303,11,"cases"
NA,"Colombia-Amazonas","province",27,252,38,"cases"
NA,"Colombia-Boyaca","province",78,201,26,"cases"
NA,"Colombia-Caldas","province",69,143,33,"cases"
NA,"Colombia-Cauca","province",29,127,71,"cases"
NA,"Colombia-Guaviare","province",11,152,19,"cases"
NA,"Colombia-Desconocido","province",52,0,86,"cases"
NA,"Colombia-Exterior","province",33,0,75,"cases"
NA,"Colombia-Narino","province",19,20,21,"cases"
NA,"Colombia-Vichada","province",5,18,29,"cases"
NA,"Colombia-Choco","province",5,8,30,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
