"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",888,21920,162,"cases"
NA,"Colombia-Norte_Santander","province",1509,8359,81,"cases"
NA,"Colombia-Santander","province",434,7853,366,"cases"
NA,"Colombia-Tolima","province",817,5758,184,"cases"
NA,"Colombia-Huila","province",908,5682,96,"cases"
NA,"Colombia-Cundinamarca","province",316,4529,311,"cases"
NA,"Colombia-Barranquilla","province",235,4214,0,"cases"
NA,"Colombia-Meta","province",565,3075,65,"cases"
NA,"Colombia-Casanare","province",275,3240,22,"cases"
NA,"Colombia-Cordoba","province",251,2388,538,"cases"
NA,"Colombia-Antioquia","province",334,1706,255,"cases"
NA,"Colombia-Atlantico","province",121,1801,95,"cases"
NA,"Colombia-Santa_Marta","province",154,1758,0,"cases"
NA,"Colombia-Arauca","province",188,1481,46,"cases"
NA,"Colombia-Sucre","province",107,1277,211,"cases"
NA,"Colombia-Cesar","province",244,1159,103,"cases"
NA,"Colombia-Magdalena","province",140,958,163,"cases"
NA,"Colombia-Risaralda","province",124,1107,2,"cases"
NA,"Colombia-Caqueta","province",151,940,28,"cases"
NA,"Colombia-San_Andres","province",65,1037,14,"cases"
NA,"Colombia-Cartagena","province",102,896,0,"cases"
NA,"Colombia-Bolivar","province",139,579,148,"cases"
NA,"Colombia-Guajira","province",95,502,105,"cases"
NA,"Colombia-Putumayo","province",105,384,6,"cases"
NA,"Colombia-Buenaventura","province",5,446,0,"cases"
NA,"Colombia-Quindio","province",24,323,10,"cases"
NA,"Colombia-Boyaca","province",84,212,30,"cases"
NA,"Colombia-Amazonas","province",28,254,43,"cases"
NA,"Colombia-Cauca","province",33,143,95,"cases"
NA,"Colombia-Caldas","province",72,162,28,"cases"
NA,"Colombia-Guaviare","province",15,161,20,"cases"
NA,"Colombia-Desconocido","province",54,0,64,"cases"
NA,"Colombia-Exterior","province",37,0,81,"cases"
NA,"Colombia-Vichada","province",5,25,35,"cases"
NA,"Colombia-Narino","province",19,20,23,"cases"
NA,"Colombia-Choco","province",5,9,34,"cases"
NA,"Colombia-Guainia","province",2,11,0,"cases"
NA,"Colombia-Vaupes","province",0,0,11,"cases"
