"","region","location","annualIncRateHt_median","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"11","Pacífica","Cauca",33.37,"0.25
(1278185)","21.9
(1287746)","23.09
(1297703)","54.71
(1308183)","128.97
(1319120)","39.19
(1330756)","25.01
(1342650)","43.09
(1354733)","27.56
(1366984)","45.81
(1379169)","61.71
(1391836)","7.02
(1404205)"
"12","Pacífica","Nariño",7.24,"0.03
(1560872)","2.62
(1580109)","2.25
(1599646)","5.66
(1619461)","17.2
(1639560)","7.44
(1660062)","5.98
(1680795)","33.5
(1701782)","37.03
(1722945)","22.98
(1744228)","29.02
(1765906)","7.05
(1787545)"
"13","Andina","Norte de Santander",314.92,"12.81
(1254386)","339.73
(1265056)","299.18
(1275834)","365.7
(1286830)","636.43
(1297951)","199.81
(1309265)","317.79
(1320777)","604.86
(1332378)","634.68
(1344038)","312.06
(1355787)","201.06
(1367708)","85.65
(1379533)"
"14","Andina","Antioquia",53.54,"0.1
(5757973)","3.83
(5834865)","43.92
(5911399)","24.51
(5988552)","434
(6066003)","32.54
(6143809)","33.9
(6221817)","93.71
(6299990)","106.35
(6378132)","105.13
(6456299)","426.14
(6534857)","63.15
(6613118)"
"15","Andina","Santander",369.25,"9.83
(1968351)","552.76
(1978976)","247.53
(1989514)","458.89
(1999999)","1034.27
(2010393)","107.42
(2020604)","247.98
(2030775)","790.78
(2040932)","699.25
(2051022)","401.15
(2061079)","337.34
(2071016)","89.46
(2080938)"
"16","Andina","Boyacá",29.48,"0.32
(1258195)","27.9
(1260821)","10.62
(1263252)","31.06
(1265513)","136.43
(1267652)","15.9
(1269405)","21.8
(1271133)","55.13
(1272855)","42.39
(1274615)","73.23
(1276407)","163.31
(1278107)","16.76
(1279955)"
"17","Andina","Risaralda",71.86,"1.88
(903052)","102.85
(908644)","39.12
(914171)","69.78
(919641)","1318.98
(925117)","73.95
(930518)","26.44
(935910)","46.69
(941275)","75.07
(946632)","144.52
(951953)","309.27
(957254)","18.72
(962529)"
"18","Andina","Caldas",55.11,"1.87
(970651)","68.55
(972591)","10.74
(974493)","41.68
(976423)","175.91
(978342)","20.93
(980267)","8.43
(982207)","77.6
(984115)","93.59
(986042)","117.56
(987991)","80.02
(989934)","10.53
(991860)"
"19","Andina","Cundinamarca",60.45,"0.82
(2318959)","17.62
(2358115)","35.92
(2397511)","34.71
(2437151)","224.93
(2477036)","40.58
(2517215)","79.36
(2557623)","171.73
(2598245)","150.93
(2639059)","123.08
(2680041)","162.91
(2721368)","41.54
(2762784)"
"20","Andina","Bogotá",0.02,"0
(6945216)","0.02
(7050228)","0.02
(7155052)","0
(7259597)","0
(7363782)","0.13
(7467804)","0.79
(7571345)","1.97
(7674366)","2.04
(7776845)",NA,NA,NA
"21","Andina","Quindío",555.5,"23.81
(537530)","757.8
(540533)","367.88
(543579)","221.34
(546593)","3556.38
(549662)","407.16
(552755)","230.86
(555836)","703.84
(558969)","1178.85
(562114)","1316.35
(565310)","903.53
(568506)","205.29
(571733)"
"22","Andina","Tolima",317.37,"3.03
(1369841)","139.04
(1374437)","118.08
(1378903)","272.9
(1383304)","787.16
(1387621)","160.21
(1391876)","361.84
(1396038)","901.66
(1400140)","591.03
(1404262)","692.81
(1408272)","421.15
(1412220)","214.79
(1416124)"
