Province,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cundinamarca,1563498,1596364,1627586,1657734,1687391,1717131,1745430,1774777,1805568,1838117,1872627,1912199,1952798,1994007,2035449,2076798,2118567,2159796,2200405,2240428,2280158,2318959,2358115,2397511,2437151,2477036,2517215,2557623,2598245,2639059,2680041,2721368,2762784,2804238,2845668,2887005
Choco,361173,367084,372990,378846,384594,390185,395773,401110,406175,410933,414552,417550,421210,420631,436682,437343,437951,441828,445794,449877,454053,458317,462683,467074,471598,476149,480820,485543,490317,495151,500093,505016,510047,515145,520296,525505
Huila,723046,734789,747499,760675,774361,788539,803164,818037,833106,848210,863349,878442,893504,908491,923392,938244,953031,967773,982377,996874,1011405,1025738,1040086,1054423,1068844,1083189,1097584,1111947,1126316,1140539,1154777,1168869,1182944,1197081,1211163,1225343
Guajira,362666,373549,383157,391887,400182,408500,415758,423770,432844,441350,451387,474255,489649,506623,526992,548879,573624,599517,626358,653834,681534,708768,736050,763496,791083,818740,846641,874532,902367,930143,957797,985452,1012926,1040157,1067063,1093671
Magdalena,888479,908242,927766,946887,965385,983096,1000682,1017120,1032225,1045940,1058256,1068223,1077518,1078786,1079822,1118977,1120576,1121975,1131036,1140396,1150064,1159895,1169866,1180134,1190666,1201501,1212559,1223875,1235532,1247514,1259822,1272442,1285384,1298691,1312428,1326525
Meta,510667,522349,533061,543112,552852,562631,571589,581135,591491,602837,615323,630776,646934,663575,680490,697478,714759,732007,749153,766214,783285,800581,817969,835526,853166,870921,888802,906805,924871,943072,961334,979710,998162,1016701,1035256,1053867
Narino,1136533,1160391,1183777,1206625,1228944,1250735,1270428,1289606,1315954,1334335,1352326,1370965,1389504,1407504,1425587,1446493,1464826,1483416,1502757,1522205,1541692,1560872,1580109,1599646,1619461,1639560,1660062,1680795,1701782,1722945,1744228,1765906,1787545,1809116,1830473,1851477
Norte_Santander,953912,967688,983168,999946,1017585,1035636,1054835,1073551,1096194,1112889,1128098,1141654,1154341,1166395,1178015,1189505,1200639,1211502,1222289,1233069,1243861,1254386,1265056,1275834,1286830,1297951,1309265,1320777,1332378,1344038,1355787,1367708,1379533,1391239,1402695,1413837
Quindio,410154,416853,424936,433869,443600,453775,464617,475158,484953,493421,500422,505728,510031,513604,516799,519805,522634,525498,528413,531424,534506,537530,540533,543579,546593,549662,552755,555836,558969,562114,565310,568506,571733,575010,578268,581552
Risaralda,667093,679979,694985,711522,729578,748434,768473,787892,806071,821660,834539,844257,852110,858568,864388,869888,875120,880472,885964,891636,897413,903052,908644,914171,919641,925117,930518,935910,941275,946632,951953,957254,962529,967767,972978,978173
Santander,1577716,1601793,1626899,1652623,1678564,1704337,1731399,1757452,1782103,1804993,1825909,1844787,1861982,1877582,1891810,1905077,1916945,1927772,1937920,1947837,1957775,1968351,1978976,1989514,1999999,2010393,2020604,2030775,2040932,2051022,2061079,2071016,2080938,2090839,2100704,2110580
Sucre,571994,583041,594818,607077,619609,632182,645622,658650,671030,682593,693243,702313,710845,718974,726839,734647,742217,749636,757033,764503,772042,779515,787153,794914,802736,810664,818689,826780,834937,843202,851515,859913,868438,877057,885835,894785
Tolima,1245647,1252802,1259669,1266298,1272722,1278982,1284974,1290868,1296690,1302447,1308162,1313846,1319533,1325239,1330960,1336721,1342648,1348498,1354239,1359765,1365082,1369841,1374437,1378903,1383304,1387621,1391876,1396038,1400140,1404262,1408272,1412220,1416124,1419947,1423719,1427427
Valle,3041474,3104541,3171288,3240825,3312817,3385688,3460164,3532718,3602190,3665947,3723845,3774547,3821170,3864822,3907200,3949031,3990355,4032191,4074590,4117760,4161470,4205228,4249220,4293541,4338216,4383277,4428675,4474369,4520480,4566875,4613684,4660741,4708262,4756113,4804489,4853327
Arauca,102845,109433,116206,123166,130314,137646,145284,153085,161019,169038,177070,186390,195159,203132,210113,215979,220976,224831,227738,230019,232129,235252,238361,241446,244507,247541,250569,253565,256527,259447,262315,265190,267992,270708,273321,275814
Casanare,170554,174744,179458,184662,190352,196421,203056,209888,216865,223871,230789,237596,244321,250927,257496,263956,270318,276648,282913,289117,295276,301371,307441,313431,319515,325621,331734,337886,344040,350239,356479,362721,368989,375249,381554,387828
Putumayo,210030,215172,220578,226198,231977,237860,244093,250306,256432,262409,268179,273972,279434,284526,289225,293525,297363,300865,304095,307144,310132,313126,316209,319390,322681,326093,329598,333247,337054,341034,345204,349537,354094,358896,363967,369332
San_Andres,41745,43562,45620,47859,50209,52592,55364,57977,60338,62368,64013,65024,65830,66501,67098,67672,68177,68717,69300,69920,70554,71075,71613,72167,72735,73320,73925,74541,75167,75801,76442,77101,77759,78413,79060,79693
Amazonas,38004,39487,41042,42649,44297,45984,47787,49596,51398,52765,54199,55797,57409,59009,60569,62065,63451,64701,65825,66827,67726,68613,69474,70313,71167,72017,72858,73699,74541,75388,76243,77088,77948,78830,79739,80682
Guainia,17871,18540,19245,19951,20694,21457,22251,23051,23869,25067,26240,27439,28589,29679,30698,31640,32490,33261,33968,34614,35230,35846,36464,37084,37705,38328,38949,39574,40203,40839,41482,42123,42777,43446,44134,44844
Guaviare,57396,59516,61709,64022,66431,68889,71453,74058,76680,78904,80906,82854,84611,86200,87661,89038,90360,91633,92889,94181,95551,97135,98688,100208,101759,103307,104846,106386,107934,109490,111060,112621,114207,115829,117494,119214
Vaupes,22806,23664,24561,25492,26453,27436,28504,29592,30683,31329,32039,32859,33693,34531,35353,36151,36905,37602,38230,38787,39279,39741,40198,40649,41094,41534,41965,42392,42817,43240,43665,44079,44500,44928,45367,45822
Vichada,25734,26689,27704,28767,29848,30984,32171,33384,34612,36725,38878,41094,43251,45297,47193,48901,50405,51821,53171,54504,55872,57344,58885,60494,62071,63670,65282,66917,68575,70260,71974,73702,75468,77276,79134,81048
