"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Zika","Colombia","Valle","province",2015-08-09,2016-10-15,NA,26165,NA,"clinical=25092;lab=890;suspicious=183","EpiBulletin",""
"Zika","Colombia","Norte_Santander","province",2015-08-09,2016-10-15,NA,10422,NA,"clinical=8801;lab=1521;suspicious=100","EpiBulletin",""
"Zika","Colombia","Santander","province",2015-08-09,2016-10-15,NA,10194,NA,"clinical=9377;lab=443;suspicious=374","EpiBulletin",""
"Zika","Colombia","Tolima","province",2015-08-09,2016-10-15,NA,7079,NA,"clinical=6059;lab=822;suspicious=198","EpiBulletin",""
"Zika","Colombia","Huila","province",2015-08-09,2016-10-15,NA,6900,NA,"clinical=5874;lab=915;suspicious=111","EpiBulletin",""
"Zika","Colombia","Cundinamarca","province",2015-08-09,2016-10-15,NA,5270,NA,"clinical=4631;lab=317;suspicious=322","EpiBulletin",""
"Zika","Colombia","Barranquilla","province",2015-08-09,2016-10-15,NA,4662,NA,"clinical=4424;lab=238;suspicious=0","EpiBulletin",""
"Zika","Colombia","Meta","province",2015-08-09,2016-10-15,NA,4278,NA,"clinical=3621;lab=580;suspicious=77","EpiBulletin",""
"Zika","Colombia","Casanare","province",2015-08-09,2016-10-15,NA,3914,NA,"clinical=3611;lab=280;suspicious=23","EpiBulletin",""
"Zika","Colombia","Cordoba","province",2015-08-09,2016-10-15,NA,3220,NA,"clinical=2440;lab=253;suspicious=527","EpiBulletin",""
"Zika","Colombia","Antioquia","province",2015-08-09,2016-10-15,NA,2503,NA,"clinical=1857;lab=335;suspicious=311","EpiBulletin",""
"Zika","Colombia","Atlantico","province",2015-08-09,2016-10-15,NA,2108,NA,"clinical=1880;lab=121;suspicious=107","EpiBulletin",""
"Zika","Colombia","Santa_Marta","province",2015-08-09,2016-10-15,NA,1940,NA,"clinical=1785;lab=155;suspicious=0","EpiBulletin",""
"Zika","Colombia","Arauca","province",2015-08-09,2016-10-15,NA,1850,NA,"clinical=1625;lab=191;suspicious=34","EpiBulletin",""
"Zika","Colombia","Sucre","province",2015-08-09,2016-10-15,NA,1627,NA,"clinical=1305;lab=107;suspicious=215","EpiBulletin",""
"Zika","Colombia","Cesar","province",2015-08-09,2016-10-15,NA,1615,NA,"clinical=1241;lab=245;suspicious=129","EpiBulletin",""
"Zika","Colombia","Magdalena","province",2015-08-09,2016-10-15,NA,1311,NA,"clinical=993;lab=140;suspicious=178","EpiBulletin",""
"Zika","Colombia","Risaralda","province",2015-08-09,2016-10-15,NA,1298,NA,"clinical=1165;lab=130;suspicious=3","EpiBulletin",""
"Zika","Colombia","San_Andres","province",2015-08-09,2016-10-15,NA,1142,NA,"clinical=1059;lab=66;suspicious=17","EpiBulletin",""
"Zika","Colombia","Caqueta","province",2015-08-09,2016-10-15,NA,1130,NA,"clinical=871;lab=234;suspicious=25","EpiBulletin",""
"Zika","Colombia","Cartagena","province",2015-08-09,2016-10-15,NA,1033,NA,"clinical=930;lab=103;suspicious=0","EpiBulletin",""
"Zika","Colombia","Bolivar","province",2015-08-09,2016-10-15,NA,887,NA,"clinical=593;lab=139;suspicious=155","EpiBulletin",""
"Zika","Colombia","Guajira","province",2015-08-09,2016-10-15,NA,721,NA,"clinical=518;lab=95;suspicious=108","EpiBulletin",""
"Zika","Colombia","Putumayo","province",2015-08-09,2016-10-15,NA,528,NA,"clinical=411;lab=110;suspicious=7","EpiBulletin",""
"Zika","Colombia","Buenaventura","province",2015-08-09,2016-10-15,NA,462,NA,"clinical=457;lab=5;suspicious=0","EpiBulletin",""
"Zika","Colombia","Quindio","province",2015-08-09,2016-10-15,NA,394,NA,"clinical=357;lab=24;suspicious=13","EpiBulletin",""
"Zika","Colombia","Boyaca","province",2015-08-09,2016-10-15,NA,364,NA,"clinical=240;lab=88;suspicious=36","EpiBulletin",""
"Zika","Colombia","Amazonas","province",2015-08-09,2016-10-15,NA,330,NA,"clinical=256;lab=28;suspicious=46","EpiBulletin",""
"Zika","Colombia","Cauca","province",2015-08-09,2016-10-15,NA,325,NA,"clinical=171;lab=34;suspicious=120","EpiBulletin",""
"Zika","Colombia","Caldas","province",2015-08-09,2016-10-15,NA,304,NA,"clinical=200;lab=74;suspicious=30","EpiBulletin",""
"Zika","Colombia","Guaviare","province",2015-08-09,2016-10-15,NA,211,NA,"clinical=176;lab=15;suspicious=20","EpiBulletin",""
"Zika","Colombia","Desconocido","province",2015-08-09,2016-10-15,NA,147,NA,"clinical=0;lab=58;suspicious=89","EpiBulletin",""
"Zika","Colombia","Narino","province",2015-08-09,2016-10-15,NA,80,NA,"clinical=27;lab=20;suspicious=33","EpiBulletin",""
"Zika","Colombia","Vichada","province",2015-08-09,2016-10-15,NA,76,NA,"clinical=32;lab=5;suspicious=39","EpiBulletin",""
"Zika","Colombia","Choco","province",2015-08-09,2016-10-15,NA,57,NA,"clinical=11;lab=5;suspicious=41","EpiBulletin",""
"Zika","Colombia","Vaupes","province",2015-08-09,2016-10-15,NA,14,NA,"clinical=0;lab=0;suspicious=14","EpiBulletin",""
"Zika","Colombia","Guainia","province",2015-08-09,2016-10-15,NA,14,NA,"clinical=11;lab=3;suspicious=0","EpiBulletin",""
"Zika","Colombia","Exterior","province",2015-08-09,2016-10-15,NA,149,NA,"clinical=0;lab=37;suspicious=112","EpiBulletin",""
