"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Putumayo",2006-12-31,2007-01-06,10,10,"C-NIH"
"Dengue","Colombia","Quindio",2006-12-31,2007-01-06,52,52,"C-NIH"
"Dengue","Colombia","Risaralda",2006-12-31,2007-01-06,18,18,"C-NIH"
"Dengue","Colombia","San_Andres",2006-12-31,2007-01-06,0,0,"C-NIH"
"Dengue","Colombia","Santander",2006-12-31,2007-01-06,116,116,"C-NIH"
"Dengue","Colombia","Sucre",2006-12-31,2007-01-06,21,21,"C-NIH"
"Dengue","Colombia","Tolima",2006-12-31,2007-01-06,35,35,"C-NIH"
"Dengue","Colombia","Valle",2006-12-31,2007-01-06,25,25,"C-NIH"
"Dengue","Colombia","Vaupes",2006-12-31,2007-01-06,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2006-12-31,2007-01-06,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-01-07,2007-01-13,3,3,"C-NIH"
"Dengue","Colombia","Arauca",2007-01-07,2007-01-13,6,6,"C-NIH"
"Dengue","Colombia","Atlantico",2007-01-07,2007-01-13,28,28,"C-NIH"
"Dengue","Colombia","Bogota",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-01-07,2007-01-13,6,6,"C-NIH"
"Dengue","Colombia","Boyaca",2007-01-07,2007-01-13,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2007-01-07,2007-01-13,9,9,"C-NIH"
"Dengue","Colombia","Caqueta",2007-01-07,2007-01-13,5,5,"C-NIH"
"Dengue","Colombia","Casanare",2007-01-07,2007-01-13,14,14,"C-NIH"
"Dengue","Colombia","Cauca",2007-01-07,2007-01-13,2,2,"C-NIH"
"Dengue","Colombia","Cesar",2007-01-07,2007-01-13,10,10,"C-NIH"
"Dengue","Colombia","Choco",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2007-01-07,2007-01-13,4,4,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-01-07,2007-01-13,9,9,"C-NIH"
"Dengue","Colombia","Guainia",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-01-07,2007-01-13,1,1,"C-NIH"
"Dengue","Colombia","Guaviare",2007-01-07,2007-01-13,1,1,"C-NIH"
"Dengue","Colombia","Huila",2007-01-07,2007-01-13,47,47,"C-NIH"
"Dengue","Colombia","Magdalena",2007-01-07,2007-01-13,8,8,"C-NIH"
"Dengue","Colombia","Meta",2007-01-07,2007-01-13,13,13,"C-NIH"
"Dengue","Colombia","Narino",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-01-07,2007-01-13,81,81,"C-NIH"
"Dengue","Colombia","Putumayo",2007-01-07,2007-01-13,8,8,"C-NIH"
"Dengue","Colombia","Quindio",2007-01-07,2007-01-13,64,64,"C-NIH"
"Dengue","Colombia","Risaralda",2007-01-07,2007-01-13,8,8,"C-NIH"
"Dengue","Colombia","San_Andres",2007-01-07,2007-01-13,3,3,"C-NIH"
"Dengue","Colombia","Santander",2007-01-07,2007-01-13,93,93,"C-NIH"
"Dengue","Colombia","Sucre",2007-01-07,2007-01-13,21,21,"C-NIH"
"Dengue","Colombia","Tolima",2007-01-07,2007-01-13,22,22,"C-NIH"
"Dengue","Colombia","Valle",2007-01-07,2007-01-13,11,11,"C-NIH"
"Dengue","Colombia","Vaupes",2007-01-07,2007-01-13,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-01-07,2007-01-13,2,2,"C-NIH"
"Dengue","Colombia","Amazonas",2007-01-14,2007-01-20,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-01-14,2007-01-20,3,3,"C-NIH"
"Dengue","Colombia","Arauca",2007-01-14,2007-01-20,4,4,"C-NIH"
"Dengue","Colombia","Atlantico",2007-01-14,2007-01-20,25,25,"C-NIH"
"Dengue","Colombia","Bogota",2007-01-14,2007-01-20,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-01-14,2007-01-20,9,9,"C-NIH"
"Dengue","Colombia","Boyaca",2007-01-14,2007-01-20,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2007-01-14,2007-01-20,10,10,"C-NIH"
"Dengue","Colombia","Caqueta",2007-01-14,2007-01-20,3,3,"C-NIH"
"Dengue","Colombia","Casanare",2007-01-14,2007-01-20,16,16,"C-NIH"
"Dengue","Colombia","Cauca",2007-01-14,2007-01-20,3,3,"C-NIH"
"Dengue","Colombia","Cesar",2007-01-14,2007-01-20,15,15,"C-NIH"
"Dengue","Colombia","Choco",2007-01-14,2007-01-20,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2007-01-14,2007-01-20,7,7,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-01-14,2007-01-20,14,14,"C-NIH"
"Dengue","Colombia","Guainia",2007-01-14,2007-01-20,1,1,"C-NIH"
"Dengue","Colombia","Guajira",2007-01-14,2007-01-20,3,3,"C-NIH"
"Dengue","Colombia","Guaviare",2007-01-14,2007-01-20,1,1,"C-NIH"
"Dengue","Colombia","Huila",2007-01-14,2007-01-20,70,70,"C-NIH"
"Dengue","Colombia","Magdalena",2007-01-14,2007-01-20,6,6,"C-NIH"
"Dengue","Colombia","Meta",2007-01-14,2007-01-20,29,29,"C-NIH"
"Dengue","Colombia","Narino",2007-01-14,2007-01-20,2,2,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-01-14,2007-01-20,85,85,"C-NIH"
