"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2017-01-01,2017-01-07,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2017-01-01,2017-01-07,151,151,"C-NIH"
"Dengue","Colombia","Arauca",2017-01-01,2017-01-07,4,4,"C-NIH"
"Dengue","Colombia","Atlantico",2017-01-01,2017-01-07,11,11,"C-NIH"
"Dengue","Colombia","Bolivar",2017-01-01,2017-01-07,19,19,"C-NIH"
"Dengue","Colombia","Boyaca",2017-01-01,2017-01-07,19,19,"C-NIH"
"Dengue","Colombia","Caldas",2017-01-01,2017-01-07,2,2,"C-NIH"
"Dengue","Colombia","Caqueta",2017-01-01,2017-01-07,1,1,"C-NIH"
"Dengue","Colombia","Casanare",2017-01-01,2017-01-07,8,8,"C-NIH"
"Dengue","Colombia","Cauca",2017-01-01,2017-01-07,7,7,"C-NIH"
"Dengue","Colombia","Cesar",2017-01-01,2017-01-07,8,8,"C-NIH"
"Dengue","Colombia","Choco",2017-01-01,2017-01-07,2,2,"C-NIH"
"Dengue","Colombia","Cordoba",2017-01-01,2017-01-07,16,16,"C-NIH"
"Dengue","Colombia","Cundinamarca",2017-01-01,2017-01-07,36,36,"C-NIH"
"Dengue","Colombia","Guainia",2017-01-01,2017-01-07,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2017-01-01,2017-01-07,0,0,"C-NIH"
"Dengue","Colombia","Guaviare",2017-01-01,2017-01-07,5,5,"C-NIH"
"Dengue","Colombia","Huila",2017-01-01,2017-01-07,58,58,"C-NIH"
"Dengue","Colombia","Magdalena",2017-01-01,2017-01-07,7,7,"C-NIH"
"Dengue","Colombia","Meta",2017-01-01,2017-01-07,24,24,"C-NIH"
"Dengue","Colombia","Narino",2017-01-01,2017-01-07,2,2,"C-NIH"
"Dengue","Colombia","Norte_Santander",2017-01-01,2017-01-07,37,37,"C-NIH"
"Dengue","Colombia","Putumayo",2017-01-01,2017-01-07,16,16,"C-NIH"
"Dengue","Colombia","Quindio",2017-01-01,2017-01-07,50,50,"C-NIH"
"Dengue","Colombia","Risaralda",2017-01-01,2017-01-07,7,7,"C-NIH"
"Dengue","Colombia","San_Andres",2017-01-01,2017-01-07,1,1,"C-NIH"
"Dengue","Colombia","Santander",2017-01-01,2017-01-07,53,53,"C-NIH"
"Dengue","Colombia","Sucre",2017-01-01,2017-01-07,12,12,"C-NIH"
"Dengue","Colombia","Tolima",2017-01-01,2017-01-07,96,96,"C-NIH"
"Dengue","Colombia","Valle",2017-01-01,2017-01-07,197,197,"C-NIH"
