"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2011-01-02,2011-01-08,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2011-01-02,2011-01-08,74,74,"C-NIH"
"Dengue","Colombia","Arauca",2011-01-02,2011-01-08,1,1,"C-NIH"
"Dengue","Colombia","Atlantico",2011-01-02,2011-01-08,52,52,"C-NIH"
"Dengue","Colombia","Bolivar",2011-01-02,2011-01-08,27,27,"C-NIH"
"Dengue","Colombia","Boyaca",2011-01-02,2011-01-08,5,5,"C-NIH"
"Dengue","Colombia","Caldas",2011-01-02,2011-01-08,12,12,"C-NIH"
"Dengue","Colombia","Caqueta",2011-01-02,2011-01-08,2,2,"C-NIH"
"Dengue","Colombia","Casanare",2011-01-02,2011-01-08,6,6,"C-NIH"
"Dengue","Colombia","Cauca",2011-01-02,2011-01-08,10,10,"C-NIH"
"Dengue","Colombia","Cesar",2011-01-02,2011-01-08,16,16,"C-NIH"
"Dengue","Colombia","Choco",2011-01-02,2011-01-08,2,2,"C-NIH"
"Dengue","Colombia","Cordoba",2011-01-02,2011-01-08,8,8,"C-NIH"
"Dengue","Colombia","Cundinamarca",2011-01-02,2011-01-08,26,26,"C-NIH"
"Dengue","Colombia","Guainia",2011-01-02,2011-01-08,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2011-01-02,2011-01-08,12,12,"C-NIH"
"Dengue","Colombia","Guaviare",2011-01-02,2011-01-08,5,5,"C-NIH"
"Dengue","Colombia","Huila",2011-01-02,2011-01-08,52,52,"C-NIH"
"Dengue","Colombia","Magdalena",2011-01-02,2011-01-08,21,21,"C-NIH"
"Dengue","Colombia","Meta",2011-01-02,2011-01-08,59,59,"C-NIH"
"Dengue","Colombia","Narino",2011-01-02,2011-01-08,4,4,"C-NIH"
"Dengue","Colombia","Norte_Santander",2011-01-02,2011-01-08,96,96,"C-NIH"
"Dengue","Colombia","Putumayo",2011-01-02,2011-01-08,18,18,"C-NIH"
"Dengue","Colombia","Quindio",2011-01-02,2011-01-08,12,12,"C-NIH"
"Dengue","Colombia","Risaralda",2011-01-02,2011-01-08,9,9,"C-NIH"
"Dengue","Colombia","San_Andres",2011-01-02,2011-01-08,0,0,"C-NIH"
"Dengue","Colombia","Santander",2011-01-02,2011-01-08,38,38,"C-NIH"
"Dengue","Colombia","Sucre",2011-01-02,2011-01-08,45,45,"C-NIH"
"Dengue","Colombia","Tolima",2011-01-02,2011-01-08,59,59,"C-NIH"
