"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2009-01-04,2009-01-10,16,16,"C-NIH"
"Dengue","Colombia","Arauca",2009-01-04,2009-01-10,20,20,"C-NIH"
"Dengue","Colombia","Atlantico",2009-01-04,2009-01-10,157,157,"C-NIH"
"Dengue","Colombia","Bolivar",2009-01-04,2009-01-10,26,26,"C-NIH"
"Dengue","Colombia","Boyaca",2009-01-04,2009-01-10,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2009-01-04,2009-01-10,5,5,"C-NIH"
"Dengue","Colombia","Caqueta",2009-01-04,2009-01-10,1,1,"C-NIH"
"Dengue","Colombia","Casanare",2009-01-04,2009-01-10,36,36,"C-NIH"
"Dengue","Colombia","Cauca",2009-01-04,2009-01-10,6,6,"C-NIH"
"Dengue","Colombia","Cesar",2009-01-04,2009-01-10,14,14,"C-NIH"
"Dengue","Colombia","Choco",2009-01-04,2009-01-10,3,3,"C-NIH"
"Dengue","Colombia","Cordoba",2009-01-04,2009-01-10,10,10,"C-NIH"
"Dengue","Colombia","Cundinamarca",2009-01-04,2009-01-10,12,12,"C-NIH"
"Dengue","Colombia","Guainia",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2009-01-04,2009-01-10,20,20,"C-NIH"
"Dengue","Colombia","Guaviare",2009-01-04,2009-01-10,6,6,"C-NIH"
"Dengue","Colombia","Huila",2009-01-04,2009-01-10,19,19,"C-NIH"
"Dengue","Colombia","Magdalena",2009-01-04,2009-01-10,23,23,"C-NIH"
"Dengue","Colombia","Meta",2009-01-04,2009-01-10,48,48,"C-NIH"
"Dengue","Colombia","Narino",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Norte_Santander",2009-01-04,2009-01-10,76,76,"C-NIH"
"Dengue","Colombia","Putumayo",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Quindio",2009-01-04,2009-01-10,2,2,"C-NIH"
"Dengue","Colombia","Risaralda",2009-01-04,2009-01-10,4,4,"C-NIH"
"Dengue","Colombia","San_Andres",2009-01-04,2009-01-10,1,1,"C-NIH"
"Dengue","Colombia","Santander",2009-01-04,2009-01-10,117,117,"C-NIH"
"Dengue","Colombia","Sucre",2009-01-04,2009-01-10,13,13,"C-NIH"
"Dengue","Colombia","Tolima",2009-01-04,2009-01-10,29,29,"C-NIH"
"Dengue","Colombia","Valle",2009-01-04,2009-01-10,51,51,"C-NIH"
"Dengue","Colombia","Vaupes",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2009-01-04,2009-01-10,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2009-01-11,2009-01-17,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2009-01-11,2009-01-17,16,16,"C-NIH"
"Dengue","Colombia","Arauca",2009-01-11,2009-01-17,13,13,"C-NIH"
"Dengue","Colombia","Atlantico",2009-01-11,2009-01-17,145,145,"C-NIH"
"Dengue","Colombia","Bolivar",2009-01-11,2009-01-17,22,22,"C-NIH"
"Dengue","Colombia","Boyaca",2009-01-11,2009-01-17,3,3,"C-NIH"
"Dengue","Colombia","Caldas",2009-01-11,2009-01-17,5,5,"C-NIH"
"Dengue","Colombia","Caqueta",2009-01-11,2009-01-17,6,6,"C-NIH"
"Dengue","Colombia","Casanare",2009-01-11,2009-01-17,65,65,"C-NIH"
"Dengue","Colombia","Cauca",2009-01-11,2009-01-17,6,6,"C-NIH"
"Dengue","Colombia","Cesar",2009-01-11,2009-01-17,10,10,"C-NIH"
"Dengue","Colombia","Choco",2009-01-11,2009-01-17,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2009-01-11,2009-01-17,5,5,"C-NIH"
"Dengue","Colombia","Cundinamarca",2009-01-11,2009-01-17,12,12,"C-NIH"
"Dengue","Colombia","Guainia",2009-01-11,2009-01-17,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2009-01-11,2009-01-17,28,28,"C-NIH"
"Dengue","Colombia","Guaviare",2009-01-11,2009-01-17,7,7,"C-NIH"
"Dengue","Colombia","Huila",2009-01-11,2009-01-17,16,16,"C-NIH"
"Dengue","Colombia","Magdalena",2009-01-11,2009-01-17,18,18,"C-NIH"
"Dengue","Colombia","Meta",2009-01-11,2009-01-17,55,55,"C-NIH"
"Dengue","Colombia","Narino",2009-01-11,2009-01-17,2,2,"C-NIH"
"Dengue","Colombia","Norte_Santander",2009-01-11,2009-01-17,59,59,"C-NIH"
"Dengue","Colombia","Putumayo",2009-01-11,2009-01-17,16,16,"C-NIH"
"Dengue","Colombia","Quindio",2009-01-11,2009-01-17,2,2,"C-NIH"
"Dengue","Colombia","Risaralda",2009-01-11,2009-01-17,6,6,"C-NIH"
"Dengue","Colombia","San_Andres",2009-01-11,2009-01-17,0,0,"C-NIH"
"Dengue","Colombia","Santander",2009-01-11,2009-01-17,92,92,"C-NIH"
"Dengue","Colombia","Sucre",2009-01-11,2009-01-17,19,19,"C-NIH"
"Dengue","Colombia","Tolima",2009-01-11,2009-01-17,38,38,"C-NIH"
"Dengue","Colombia","Valle",2009-01-11,2009-01-17,47,47,"C-NIH"
"Dengue","Colombia","Vaupes",2009-01-11,2009-01-17,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2009-01-11,2009-01-17,1,1,"C-NIH"
"Dengue","Colombia","Amazonas",2009-01-18,2009-01-24,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2009-01-18,2009-01-24,13,13,"C-NIH"
"Dengue","Colombia","Arauca",2009-01-18,2009-01-24,9,9,"C-NIH"
"Dengue","Colombia","Atlantico",2009-01-18,2009-01-24,116,116,"C-NIH"
