"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2012-12-30,2013-01-05,4,4,"C-NIH"
"Dengue","Colombia","Antioquia",2012-12-30,2013-01-05,89,89,"C-NIH"
"Dengue","Colombia","Arauca",2012-12-30,2013-01-05,16,16,"C-NIH"
"Dengue","Colombia","Atlantico",2012-12-30,2013-01-05,88,88,"C-NIH"
"Dengue","Colombia","Bogota",2012-12-30,2013-01-05,2,2,"C-NIH"
"Dengue","Colombia","Bolivar",2012-12-30,2013-01-05,64,64,"C-NIH"
"Dengue","Colombia","Boyaca",2012-12-30,2013-01-05,7,7,"C-NIH"
"Dengue","Colombia","Caldas",2012-12-30,2013-01-05,6,6,"C-NIH"
"Dengue","Colombia","Caqueta",2012-12-30,2013-01-05,16,16,"C-NIH"
"Dengue","Colombia","Casanare",2012-12-30,2013-01-05,46,46,"C-NIH"
"Dengue","Colombia","Cauca",2012-12-30,2013-01-05,14,14,"C-NIH"
"Dengue","Colombia","Cesar",2012-12-30,2013-01-05,70,70,"C-NIH"
"Dengue","Colombia","Choco",2012-12-30,2013-01-05,2,2,"C-NIH"
"Dengue","Colombia","Cordoba",2012-12-30,2013-01-05,26,26,"C-NIH"
"Dengue","Colombia","Cundinamarca",2012-12-30,2013-01-05,60,60,"C-NIH"
"Dengue","Colombia","Guainia",2012-12-30,2013-01-05,1,1,"C-NIH"
"Dengue","Colombia","Guajira",2012-12-30,2013-01-05,32,32,"C-NIH"
"Dengue","Colombia","Guaviare",2012-12-30,2013-01-05,3,3,"C-NIH"
"Dengue","Colombia","Huila",2012-12-30,2013-01-05,73,73,"C-NIH"
"Dengue","Colombia","Magdalena",2012-12-30,2013-01-05,44,44,"C-NIH"
"Dengue","Colombia","Meta",2012-12-30,2013-01-05,107,107,"C-NIH"
"Dengue","Colombia","Narino",2012-12-30,2013-01-05,7,7,"C-NIH"
"Dengue","Colombia","Norte_Santander",2012-12-30,2013-01-05,116,116,"C-NIH"
"Dengue","Colombia","Putumayo",2012-12-30,2013-01-05,48,48,"C-NIH"
"Dengue","Colombia","Quindio",2012-12-30,2013-01-05,56,56,"C-NIH"
"Dengue","Colombia","Risaralda",2012-12-30,2013-01-05,10,10,"C-NIH"
"Dengue","Colombia","San_Andres",2012-12-30,2013-01-05,1,1,"C-NIH"
"Dengue","Colombia","Santander",2012-12-30,2013-01-05,231,231,"C-NIH"
"Dengue","Colombia","Sucre",2012-12-30,2013-01-05,49,49,"C-NIH"
"Dengue","Colombia","Tolima",2012-12-30,2013-01-05,182,182,"C-NIH"
"Dengue","Colombia","Valle",2012-12-30,2013-01-05,283,283,"C-NIH"
"Dengue","Colombia","Vaupes",2012-12-30,2013-01-05,1,1,"C-NIH"
